th5_cms_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.750000e-04   0.000000e+00   0.000000e+00
-1.250000e-04   0.000000e+00   0.000000e+00
 1.250000e-04   4.389335e-03   3.973439e-03
 3.750000e-04   3.583140e-02   2.146804e-02
 6.250000e-04   1.987157e-02   1.287504e-02
 8.750000e-04   2.754118e-02   1.994182e-02
 1.125000e-03   1.084017e+00   9.544555e-01
 1.375000e-03   1.171657e-01   8.493913e-02
 1.625000e-03   3.098811e-02   1.445908e-02
 1.875000e-03   1.879865e-01   1.207707e-01
 2.125000e-03   1.603153e-01   8.992401e-02
 2.375000e-03   1.740332e-01   1.466651e-01
 2.625000e-03   3.694757e-01   2.281695e-01
 2.875000e-03   2.157397e+00   2.112195e+00
 3.125000e-03   2.001949e-01   1.742729e-01
 3.375000e-03   1.096025e+00   8.790106e-01
 3.625000e-03   2.055185e-01   9.133311e-02
 3.875000e-03   2.008365e+00   1.543190e+00
 4.125000e-03   4.034879e-01   2.753212e-01
 4.375000e-03   7.312418e-02   6.312441e-02
 4.625000e-03   6.169076e-01   5.645849e-01
 4.875000e-03   2.639487e-01   2.331117e-01
 5.125000e-03   3.332659e-01   2.306382e-01
 5.375000e-03   5.192987e-01   4.088890e-01
 5.625000e-03   5.458404e-01   3.856617e-01
 5.875000e-03   8.895814e-01   7.582458e-01
 6.125000e-03   3.727718e-01   2.496991e-01
 6.375000e-03   1.479023e-01   8.636138e-02
 6.625000e-03   1.868349e-01   1.219616e-01
 6.875000e-03   1.477821e+00   1.475126e+00
 7.125000e-03   2.946117e-01   2.102284e-01
 7.375000e-03   1.370310e-01   8.412334e-02
 7.625000e-03   2.404835e+00   2.279009e+00
 7.875000e-03   2.813610e+00   2.061505e+00
 8.125000e-03   2.729887e-01   2.729887e-01
 8.375000e-03   4.413464e+00   4.413464e+00
 8.625000e-03   2.717650e-01   2.717650e-01
 8.875000e-03   3.556793e-01   3.556793e-01
 9.125000e-03   2.858818e-02   2.858818e-02
 9.375000e-03   2.019004e-02   2.019004e-02
 9.625000e-03   8.209068e-01   8.209068e-01
 9.875000e-03   4.717814e-01   4.717814e-01
 1.012500e-02   4.250972e-01   3.119630e-01
 1.037500e-02   1.739921e+00   1.739921e+00
 1.062500e-02   5.341098e-01   4.638253e-01
 1.087500e-02   3.880169e-01   3.880169e-01
 1.112500e-02   9.840426e-01   9.840426e-01
 1.137500e-02   8.060411e-02   7.832141e-02
 1.162500e-02   7.324120e-01   7.324120e-01
 1.187500e-02   4.239280e-02   4.239280e-02
 inf   8.599398e-03   8.378364e-03
