th5_x_cms bin centers    value    Error 
-inf   1.729522e-02   3.465654e-04
-1.197600e-02   3.581311e-03   1.489464e-03
-1.192800e-02   3.421858e-03   1.008796e-03
-1.188000e-02   1.193684e-03   3.283611e-04
-1.183200e-02   5.322080e-03   2.197399e-03
-1.178400e-02   3.301277e-03   1.285332e-03
-1.173600e-02   9.167534e-03   3.035024e-03
-1.168800e-02   3.314979e-03   9.406193e-04
-1.164000e-02   4.902315e-03   1.686865e-03
-1.159200e-02   3.751892e-03   1.225779e-03
-1.154400e-02   6.358858e-03   2.289871e-03
-1.149600e-02   3.462955e-03   1.733564e-03
-1.144800e-02   2.482303e-03   9.123486e-04
-1.140000e-02   6.306977e-03   1.534993e-03
-1.135200e-02   1.761699e-03   4.946450e-04
-1.130400e-02   3.474746e-03   1.036464e-03
-1.125600e-02   5.517191e-03   2.003574e-03
-1.120800e-02   1.517989e-03   4.433826e-04
-1.116000e-02   4.308656e-03   1.386108e-03
-1.111200e-02   2.466933e-03   7.146160e-04
-1.106400e-02   4.239062e-03   1.355785e-03
-1.101600e-02   4.385100e-03   1.839528e-03
-1.096800e-02   2.060137e-03   6.280396e-04
-1.092000e-02   6.343525e-03   2.762182e-03
-1.087200e-02   6.116768e-03   2.613979e-03
-1.082400e-02   2.828341e-03   8.811920e-04
-1.077600e-02   4.302787e-03   1.153851e-03
-1.072800e-02   1.959581e-03   5.434427e-04
-1.068000e-02   2.009361e-03   7.170035e-04
-1.063200e-02   5.272093e-03   1.671856e-03
-1.058400e-02   1.996427e-03   4.784039e-04
-1.053600e-02   3.788466e-03   1.180169e-03
-1.048800e-02   3.974850e-03   1.729649e-03
-1.044000e-02   1.974304e-03   8.798587e-04
-1.039200e-02   1.430012e-03   3.410123e-04
-1.034400e-02   2.273796e-03   8.548088e-04
-1.029600e-02   3.749454e-03   1.440986e-03
-1.024800e-02   1.279611e-03   4.302129e-04
-1.020000e-02   3.078463e-03   1.496294e-03
-1.015200e-02   2.187260e-03   6.193511e-04
-1.010400e-02   2.943782e-03   5.992905e-04
-1.005600e-02   1.760895e-03   7.230026e-04
-1.000800e-02   1.992225e-03   5.804789e-04
-9.960000e-03   1.724550e-03   6.212793e-04
-9.912000e-03   5.885012e-03   1.833530e-03
-9.864000e-03   2.932876e-03   5.600726e-04
-9.816000e-03   2.084189e-03   5.574796e-04
-9.768000e-03   2.292012e-03   5.671543e-04
-9.720000e-03   1.739502e-03   5.109196e-04
-9.672000e-03   1.097953e-03   4.489898e-04
-9.624000e-03   6.805540e-03   3.036838e-03
-9.576000e-03   3.159885e-03   1.164400e-03
-9.528000e-03   2.269711e-03   9.521545e-04
-9.480000e-03   2.164990e-03   1.183669e-03
-9.432000e-03   2.089705e-03   7.432942e-04
-9.384000e-03   1.696902e-03   5.582254e-04
-9.336000e-03   5.870407e-03   1.646101e-03
-9.288000e-03   3.253083e-03   1.201737e-03
-9.240000e-03   3.776154e-03   1.440938e-03
-9.192000e-03   2.107894e-03   8.762603e-04
-9.144000e-03   5.395882e-04   2.927998e-04
-9.096000e-03   2.026151e-03   8.146459e-04
-9.048000e-03   2.327297e-03   6.220021e-04
-9.000000e-03   3.529448e-03   1.433113e-03
-8.952000e-03   2.617914e-03   9.544993e-04
-8.904000e-03   3.027370e-03   7.469510e-04
-8.856000e-03   2.585558e-03   9.503706e-04
-8.808000e-03   3.285534e-03   1.197735e-03
-8.760000e-03   5.874110e-03   1.983611e-03
-8.712000e-03   3.109731e-03   7.659712e-04
-8.664000e-03   2.277738e-03   7.986433e-04
-8.616000e-03   3.514820e-03   2.102822e-03
-8.568000e-03   5.638178e-04   2.630502e-04
-8.520000e-03   6.457120e-03   5.272843e-03
-8.472000e-03   6.824427e-04   2.356939e-04
-8.424000e-03   1.726319e-03   7.078838e-04
-8.376000e-03   2.052095e-03   5.499026e-04
-8.328000e-03   3.528588e-03   1.240264e-03
-8.280000e-03   2.465522e-03   6.798418e-04
-8.232000e-03   1.151568e-02   3.612597e-03
-8.184000e-03   6.892600e-03   2.854499e-03
-8.136000e-03   5.623924e-03   1.911250e-03
-8.088000e-03   9.722672e-04   3.643589e-04
-8.040000e-03   2.273347e-03   1.271623e-03
-7.992000e-03   2.211015e-03   5.477818e-04
-7.944000e-03   3.599114e-03   1.288860e-03
-7.896000e-03   2.478547e-03   7.946983e-04
-7.848000e-03   3.156074e-03   1.268651e-03
-7.800000e-03   1.078682e-03   4.708577e-04
-7.752000e-03   2.537011e-03   8.544835e-04
-7.704000e-03   5.137640e-03   3.402856e-03
-7.656000e-03   3.213863e-03   5.705601e-04
-7.608000e-03   3.457170e-03   1.226576e-03
-7.560000e-03   4.009061e-03   8.959002e-04
-7.512000e-03   2.148574e-03   7.819554e-04
-7.464000e-03   3.535585e-03   8.864254e-04
