th5_y_lab bin centers    value    Error 
-inf   1.776996e-02   2.356373e-04
-1.197600e-02   1.349791e-03   5.442758e-04
-1.192800e-02   4.853135e-03   2.684181e-03
-1.188000e-02   1.059248e-03   4.941333e-04
-1.183200e-02   3.365001e-03   1.234850e-03
-1.178400e-02   3.498672e-03   2.578065e-03
-1.173600e-02   2.476024e-03   7.497862e-04
-1.168800e-02   2.256113e-03   5.399645e-04
-1.164000e-02   8.811126e-03   4.265951e-03
-1.159200e-02   2.308365e-03   7.493148e-04
-1.154400e-02   1.196114e-03   3.717670e-04
-1.149600e-02   2.718765e-03   7.741709e-04
-1.144800e-02   1.103823e-03   1.834440e-04
-1.140000e-02   5.890386e-03   1.978426e-03
-1.135200e-02   8.598749e-03   2.266357e-03
-1.130400e-02   6.149003e-03   2.775404e-03
-1.125600e-02   3.428264e-03   1.289571e-03
-1.120800e-02   3.598411e-03   1.491683e-03
-1.116000e-02   1.966300e-03   5.834268e-04
-1.111200e-02   3.038205e-03   1.018733e-03
-1.106400e-02   1.520921e-03   4.326743e-04
-1.101600e-02   2.030599e-03   5.760419e-04
-1.096800e-02   2.795933e-03   8.816915e-04
-1.092000e-02   3.562121e-03   1.100388e-03
-1.087200e-02   2.134339e-03   4.947694e-04
-1.082400e-02   7.596270e-03   2.837134e-03
-1.077600e-02   1.199311e-03   4.378381e-04
-1.072800e-02   1.913989e-03   5.072212e-04
-1.068000e-02   2.260294e-03   7.610452e-04
-1.063200e-02   1.991807e-03   8.289535e-04
-1.058400e-02   3.587481e-03   7.901280e-04
-1.053600e-02   1.710650e-03   5.475003e-04
-1.048800e-02   3.102707e-03   1.046778e-03
-1.044000e-02   1.120293e-03   3.768456e-04
-1.039200e-02   3.556898e-03   1.426835e-03
-1.034400e-02   2.048174e-03   9.526020e-04
-1.029600e-02   3.245822e-03   9.798529e-04
-1.024800e-02   1.333823e-03   3.942879e-04
-1.020000e-02   2.118043e-03   7.890941e-04
-1.015200e-02   4.419358e-03   1.582035e-03
-1.010400e-02   5.137566e-04   1.291086e-04
-1.005600e-02   9.191154e-04   3.532460e-04
-1.000800e-02   1.848602e-03   4.717887e-04
-9.960000e-03   4.168133e-03   1.494299e-03
-9.912000e-03   3.508567e-03   8.209468e-04
-9.864000e-03   1.076812e-03   4.718354e-04
-9.816000e-03   1.100610e-03   4.425045e-04
-9.768000e-03   5.313919e-03   1.711000e-03
-9.720000e-03   4.360147e-03   1.334385e-03
-9.672000e-03   6.336477e-03   2.457920e-03
-9.624000e-03   1.749313e-03   5.044601e-04
-9.576000e-03   3.254147e-03   9.812585e-04
-9.528000e-03   1.894296e-03   6.665851e-04
-9.480000e-03   9.910165e-04   7.657130e-04
-9.432000e-03   1.137277e-03   4.543143e-04
-9.384000e-03   5.103012e-03   1.960897e-03
-9.336000e-03   3.990969e-03   1.283355e-03
-9.288000e-03   3.267854e-03   1.119635e-03
-9.240000e-03   1.494041e-03   5.507264e-04
-9.192000e-03   4.941831e-03   2.766204e-03
-9.144000e-03   4.307157e-03   1.289732e-03
-9.096000e-03   1.502232e-03   5.529796e-04
-9.048000e-03   2.187730e-03   6.426218e-04
-9.000000e-03   1.295805e-03   4.867038e-04
-8.952000e-03   1.876605e-03   4.509882e-04
-8.904000e-03   5.534548e-03   1.857478e-03
-8.856000e-03   2.193780e-03   5.929675e-04
-8.808000e-03   1.504165e-03   4.197421e-04
-8.760000e-03   8.316553e-03   2.564958e-03
-8.712000e-03   1.072101e-03   3.483781e-04
-8.664000e-03   1.999355e-03   8.107677e-04
-8.616000e-03   7.984612e-03   3.699048e-03
-8.568000e-03   5.608890e-03   1.813588e-03
-8.520000e-03   2.324455e-03   9.905408e-04
-8.472000e-03   3.409108e-03   8.652815e-04
-8.424000e-03   4.414655e-03   1.629117e-03
-8.376000e-03   3.533796e-03   1.099409e-03
-8.328000e-03   1.748452e-03   5.089444e-04
-8.280000e-03   5.308273e-03   2.435979e-03
-8.232000e-03   2.140751e-03   5.496595e-04
-8.184000e-03   2.080353e-03   5.928490e-04
-8.136000e-03   4.770063e-03   1.574525e-03
-8.088000e-03   6.619615e-04   2.830728e-04
-8.040000e-03   1.110829e-03   4.235888e-04
-7.992000e-03   3.416689e-03   1.205623e-03
-7.944000e-03   3.507295e-03   1.131503e-03
-7.896000e-03   4.315967e-03   1.269929e-03
-7.848000e-03   2.220055e-03   1.250922e-03
-7.800000e-03   2.468471e-03   8.513319e-04
-7.752000e-03   1.762277e-03   5.593747e-04
-7.704000e-03   5.013372e-03   1.647686e-03
-7.656000e-03   2.433436e-03   9.011389e-04
-7.608000e-03   2.286685e-03   6.120366e-04
-7.560000e-03   2.942452e-03   1.026372e-03
-7.512000e-03   1.908376e-03   5.216047e-04
-7.464000e-03   4.325554e-03   1.528781e-03
-7.416000e-03   2.261871e-03   7.165939e-04
-7.368000e-03   2.430358e-03   6.725983e-04
-7.320000e-03   5.359294e-03   2.076518e-03
-7.272000e-03   3.404967e-03   9.638026e-04
-7.224000e-03   1.469106e-03   3.487516e-04
-7.176000e-03   2.140291e-03   5.251788e-04
-7.128000e-03   3.458154e-03   1.138277e-03
-7.080000e-03   1.918588e-03   6.299463e-04
-7.032000e-03   1.230108e-03   4.511255e-04
-6.984000e-03   2.454156e-03   3.988063e-04
-6.936000e-03   2.524038e-03   7.391892e-04
-6.888000e-03   1.111030e-03   4.394771e-04
-6.840000e-03   3.073265e-03   1.152329e-03
-6.792000e-03   2.901684e-03   8.431248e-04
-6.744000e-03   2.170041e-03   6.772526e-04
-6.696000e-03   3.059729e-03   7.884616e-04
-6.648000e-03   1.095213e-03   5.295449e-04
-6.600000e-03   1.135091e-03   3.233940e-04
-6.552000e-03   2.666126e-03   8.034706e-04
-6.504000e-03   2.106310e-03   6.096623e-04
-6.456000e-03   5.051840e-03   1.417188e-03
-6.408000e-03   2.568963e-03   9.314187e-04
-6.360000e-03   6.632840e-03   2.478479e-03
-6.312000e-03   3.479048e-03   9.579910e-04
-6.264000e-03   1.492254e-03   6.692192e-04
-6.216000e-03   4.413123e-03   1.635382e-03
-6.168000e-03   4.627884e-03   1.127414e-03
-6.120000e-03   2.059431e-03   6.375841e-04
-6.072000e-03   1.517874e-03   5.320368e-04
-6.024000e-03   2.393363e-03   9.180757e-04
-5.976000e-03   3.381912e-03   9.705454e-04
-5.928000e-03   3.654433e-03   1.601789e-03
-5.880000e-03   4.354582e-03   1.919345e-03
-5.832000e-03   3.373345e-03   1.559350e-03
-5.784000e-03   2.751985e-03   1.125919e-03
-5.736000e-03   2.049706e-03   6.837553e-04
-5.688000e-03   3.445544e-03   8.736151e-04
-5.640000e-03   4.021484e-03   7.319926e-04
-5.592000e-03   3.916359e-03   1.496629e-03
-5.544000e-03   2.765678e-03   8.487606e-04
-5.496000e-03   3.877495e-03   1.318399e-03
-5.448000e-03   3.011653e-03   9.004679e-04
-5.400000e-03   8.720575e-04   3.400545e-04
-5.352000e-03   4.839833e-03   2.279982e-03
-5.304000e-03   2.574876e-03   1.086148e-03
-5.256000e-03   3.280988e-03   1.640768e-03
-5.208000e-03   2.226096e-03   7.919760e-04
-5.160000e-03   2.257214e-03   6.195300e-04
-5.112000e-03   8.176058e-04   4.014098e-04
-5.064000e-03   5.888956e-03   2.069614e-03
-5.016000e-03   6.105916e-03   2.532368e-03
-4.968000e-03   4.220954e-03   1.357231e-03
-4.920000e-03   3.851355e-03   1.351215e-03
-4.872000e-03   6.779275e-03   2.786605e-03
-4.824000e-03   3.388023e-03   9.644844e-04
-4.776000e-03   2.086381e-03   4.316521e-04
-4.728000e-03   3.887337e-03   1.564470e-03
-4.680000e-03   2.684526e-03   7.056940e-04
-4.632000e-03   3.257945e-03   8.578826e-04
-4.584000e-03   6.586286e-04   3.005982e-04
-4.536000e-03   3.230965e-03   1.642072e-03
-4.488000e-03   3.162875e-03   1.253138e-03
-4.440000e-03   2.597598e-03   1.100272e-03
-4.392000e-03   4.448930e-03   1.283152e-03
-4.344000e-03   2.122442e-03   4.462180e-04
-4.296000e-03   4.141240e-03   1.095221e-03
-4.248000e-03   9.568156e-04   4.674260e-04
-4.200000e-03   6.352250e-03   2.395386e-03
-4.152000e-03   4.457022e-03   1.386930e-03
-4.104000e-03   2.328826e-03   5.804096e-04
-4.056000e-03   3.352755e-03   8.912391e-04
-4.008000e-03   6.136649e-03   3.594376e-03
-3.960000e-03   3.410200e-03   1.081324e-03
-3.912000e-03   2.694976e-03   7.618981e-04
-3.864000e-03   1.066822e-02   4.737425e-03
-3.816000e-03   5.380425e-03   1.330879e-03
-3.768000e-03   2.911935e-03   7.733939e-04
-3.720000e-03   1.581217e-03   4.752254e-04
-3.672000e-03   3.597190e-03   1.036565e-03
-3.624000e-03   1.644959e-03   4.940737e-04
-3.576000e-03   3.630458e-04   2.146260e-04
-3.528000e-03   2.722006e-03   7.618653e-04
-3.480000e-03   3.388553e-03   1.310705e-03
-3.432000e-03   1.111704e-02   4.638251e-03
-3.384000e-03   4.821775e-03   1.086152e-03
-3.336000e-03   8.496505e-04   3.319590e-04
-3.288000e-03   3.688975e-03   1.004960e-03
-3.240000e-03   5.829534e-03   2.966766e-03
-3.192000e-03   2.138482e-03   6.324548e-04
-3.144000e-03   6.156163e-03   2.130427e-03
-3.096000e-03   4.594368e-03   1.607009e-03
-3.048000e-03   2.442009e-03   5.582351e-04
-3.000000e-03   1.571157e-03   5.526732e-04
-2.952000e-03   2.193366e-03   6.254575e-04
-2.904000e-03   4.826520e-03   1.499365e-03
-2.856000e-03   1.859754e-03   5.202118e-04
-2.808000e-03   4.316653e-03   2.136045e-03
-2.760000e-03   2.188620e-03   7.445623e-04
-2.712000e-03   1.753812e-03   7.393828e-04
-2.664000e-03   3.218181e-03   9.518932e-04
-2.616000e-03   5.618704e-03   3.229175e-03
-2.568000e-03   5.247974e-03   1.153166e-03
-2.520000e-03   3.442270e-03   1.504150e-03
-2.472000e-03   3.018891e-03   6.265545e-04
-2.424000e-03   4.483262e-03   1.158797e-03
-2.376000e-03   2.183517e-03   1.177969e-03
-2.328000e-03   1.919894e-03   4.668641e-04
-2.280000e-03   6.493554e-03   3.602479e-03
-2.232000e-03   3.216572e-03   8.434950e-04
-2.184000e-03   7.829498e-03   3.545213e-03
-2.136000e-03   3.849408e-03   1.094026e-03
-2.088000e-03   2.595729e-03   1.160355e-03
-2.040000e-03   5.312700e-03   1.429913e-03
-1.992000e-03   2.382572e-03   1.133698e-03
-1.944000e-03   1.019749e-03   3.962389e-04
-1.896000e-03   4.450499e-03   1.592554e-03
-1.848000e-03   3.519037e-03   1.097787e-03
-1.800000e-03   3.330120e-03   7.122746e-04
-1.752000e-03   1.899345e-03   8.825920e-04
-1.704000e-03   2.816317e-03   9.375593e-04
-1.656000e-03   3.476098e-03   1.647475e-03
-1.608000e-03   3.474941e-03   1.058067e-03
-1.560000e-03   3.240671e-03   1.063836e-03
-1.512000e-03   3.787101e-03   9.820477e-04
-1.464000e-03   3.176749e-03   8.121538e-04
-1.416000e-03   4.000728e-03   1.478499e-03
-1.368000e-03   4.767624e-03   1.832560e-03
-1.320000e-03   4.631292e-03   2.047665e-03
-1.272000e-03   1.884613e-03   4.879002e-04
-1.224000e-03   2.779137e-03   1.051843e-03
-1.176000e-03   2.877323e-03   1.196203e-03
-1.128000e-03   1.396765e-03   4.713511e-04
-1.080000e-03   5.971291e-03   1.785255e-03
-1.032000e-03   1.770024e-03   6.863435e-04
-9.840000e-04   1.708439e-02   1.144423e-02
-9.360000e-04   4.115865e-03   8.650365e-04
