x5_lab bin centers    value    Error 
-inf   1.710776e-02   6.932659e-04
-1.906180e-01   1.483741e-01   1.115593e-02
-1.898540e-01   1.568508e-01   1.862875e-02
-1.890900e-01   1.383989e-01   1.050891e-02
-1.883260e-01   2.711800e-01   7.018574e-02
-1.875620e-01   1.350486e-01   1.164570e-02
-1.867980e-01   1.914240e-01   2.618873e-02
-1.860340e-01   1.512517e-01   1.167874e-02
-1.852700e-01   1.807185e-01   2.094972e-02
-1.845060e-01   1.690320e-01   1.738880e-02
-1.837420e-01   1.740799e-01   2.200630e-02
-1.829780e-01   1.536269e-01   1.245261e-02
-1.822140e-01   1.599567e-01   9.752334e-03
-1.814500e-01   1.526851e-01   1.443094e-02
-1.806860e-01   1.379595e-01   7.983121e-03
-1.799220e-01   2.592386e-01   5.329164e-02
-1.791580e-01   1.582268e-01   9.093930e-03
-1.783940e-01   1.854769e-01   1.586147e-02
-1.776300e-01   1.974070e-01   2.197221e-02
-1.768660e-01   1.809755e-01   1.712026e-02
-1.761020e-01   1.644040e-01   8.556014e-03
-1.753380e-01   2.177895e-01   2.479377e-02
-1.745740e-01   2.354838e-01   5.343303e-02
-1.738100e-01   1.915510e-01   1.843643e-02
-1.730460e-01   1.940231e-01   2.080047e-02
-1.722820e-01   2.232577e-01   3.159514e-02
-1.715180e-01   2.407320e-01   2.295336e-02
-1.707540e-01   2.245681e-01   1.956957e-02
-1.699900e-01   2.090905e-01   3.167671e-02
-1.692260e-01   2.604739e-01   4.804638e-02
-1.684620e-01   2.207739e-01   1.157668e-02
-1.676980e-01   2.093398e-01   1.641273e-02
-1.669340e-01   2.227012e-01   1.387294e-02
-1.661700e-01   2.786296e-01   2.824650e-02
-1.654060e-01   2.321873e-01   1.933080e-02
-1.646420e-01   2.588529e-01   2.373472e-02
-1.638780e-01   2.536590e-01   2.294512e-02
-1.631140e-01   2.461064e-01   1.586528e-02
-1.623500e-01   2.954292e-01   4.001392e-02
-1.615860e-01   2.425801e-01   2.425514e-02
-1.608220e-01   2.531589e-01   2.001894e-02
-1.600580e-01   2.353457e-01   2.029095e-02
