x5_lab bin centers    value    Error 
-inf   1.475055e-02   9.511396e-04
-1.996000e-01   1.117853e-01   1.161140e-02
-1.988000e-01   1.722768e-01   3.742152e-02
-1.980000e-01   1.395108e-01   2.362335e-02
-1.972000e-01   1.724293e-01   3.970199e-02
-1.964000e-01   1.756228e-01   5.093792e-02
-1.956000e-01   1.596725e-01   2.339241e-02
-1.948000e-01   1.492086e-01   1.882012e-02
-1.940000e-01   1.387485e-01   1.387241e-02
-1.932000e-01   1.175270e-01   6.703388e-03
-1.924000e-01   1.639851e-01   1.865122e-02
-1.916000e-01   1.634451e-01   1.319898e-02
-1.908000e-01   1.203458e-01   8.222063e-03
-1.900000e-01   2.099511e-01   3.986041e-02
-1.892000e-01   1.342517e-01   9.952161e-03
-1.884000e-01   1.476716e-01   1.963077e-02
-1.876000e-01   1.365622e-01   9.844037e-03
-1.868000e-01   1.917605e-01   4.259272e-02
-1.860000e-01   1.909524e-01   2.517631e-02
-1.852000e-01   1.412118e-01   1.256351e-02
-1.844000e-01   1.743764e-01   1.968091e-02
-1.836000e-01   1.641325e-01   7.689145e-03
-1.828000e-01   3.150518e-01   7.200425e-02
-1.820000e-01   1.851794e-01   1.838228e-02
-1.812000e-01   1.946520e-01   1.712492e-02
-1.804000e-01   1.883553e-01   1.714481e-02
-1.796000e-01   1.808601e-01   2.073109e-02
-1.788000e-01   1.903711e-01   3.096001e-02
-1.780000e-01   2.035951e-01   4.329990e-02
-1.772000e-01   1.556992e-01   1.035944e-02
-1.764000e-01   1.636812e-01   1.483700e-02
-1.756000e-01   1.874124e-01   3.059110e-02
-1.748000e-01   2.032873e-01   1.744140e-02
-1.740000e-01   2.177157e-01   1.721091e-02
-1.732000e-01   2.494067e-01   3.761303e-02
-1.724000e-01   2.183918e-01   2.129093e-02
-1.716000e-01   1.927002e-01   2.397551e-02
-1.708000e-01   2.225953e-01   1.683037e-02
-1.700000e-01   2.191256e-01   2.207131e-02
-1.692000e-01   1.979208e-01   1.591619e-02
-1.684000e-01   2.174164e-01   1.841286e-02
-1.676000e-01   2.491274e-01   2.792821e-02
-1.668000e-01   2.710051e-01   6.164690e-02
-1.660000e-01   2.809137e-01   2.239224e-02
-1.652000e-01   2.372033e-01   1.403435e-02
-1.644000e-01   1.982354e-01   1.155603e-02
-1.636000e-01   2.815127e-01   3.448191e-02
-1.628000e-01   2.589270e-01   2.125008e-02
-1.620000e-01   2.461964e-01   2.918987e-02
-1.612000e-01   2.276525e-01   1.557220e-02
-1.604000e-01   2.291352e-01   1.766616e-02
-1.596000e-01   2.572614e-01   2.291255e-02
-1.588000e-01   2.483371e-01   1.742013e-02
-1.580000e-01   3.491367e-01   5.467613e-02
-1.572000e-01   2.728082e-01   1.987772e-02
-1.564000e-01   2.702822e-01   1.831042e-02
-1.556000e-01   3.095952e-01   2.911020e-02
-1.548000e-01   2.596047e-01   1.231857e-02
-1.540000e-01   3.370019e-01   4.734430e-02
-1.532000e-01   2.963911e-01   1.714828e-02
-1.524000e-01   2.612441e-01   1.702117e-02
-1.516000e-01   3.327242e-01   3.053787e-02
-1.508000e-01   2.729726e-01   1.887279e-02
