x5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   2.271435e-01   7.262661e-03
-1.900000e-01   3.080936e-01   1.054586e-02
-1.892000e-01   3.193794e-01   1.509172e-02
-1.884000e-01   3.342604e-01   1.569517e-02
-1.876000e-01   3.284088e-01   1.212628e-02
-1.868000e-01   3.727318e-01   2.448931e-02
-1.860000e-01   3.459084e-01   1.395785e-02
-1.852000e-01   3.603843e-01   2.520621e-02
-1.844000e-01   3.485367e-01   1.191767e-02
-1.836000e-01   3.593279e-01   1.700759e-02
-1.828000e-01   3.671468e-01   1.357015e-02
-1.820000e-01   3.616533e-01   1.844336e-02
-1.812000e-01   3.624853e-01   1.684255e-02
-1.804000e-01   3.412528e-01   1.238640e-02
-1.796000e-01   3.477844e-01   1.874413e-02
-1.788000e-01   3.606587e-01   1.175462e-02
-1.780000e-01   3.660407e-01   1.284968e-02
-1.772000e-01   3.924394e-01   1.237950e-02
-1.764000e-01   3.810170e-01   1.614024e-02
-1.756000e-01   4.292701e-01   1.999167e-02
-1.748000e-01   3.974417e-01   1.640494e-02
-1.740000e-01   4.281056e-01   2.459075e-02
-1.732000e-01   4.135516e-01   2.151126e-02
-1.724000e-01   4.181063e-01   1.587960e-02
-1.716000e-01   4.316383e-01   2.033555e-02
-1.708000e-01   4.707816e-01   2.595577e-02
-1.700000e-01   4.449799e-01   1.566014e-02
-1.692000e-01   4.560513e-01   1.976156e-02
-1.684000e-01   4.866576e-01   2.165678e-02
-1.676000e-01   4.805041e-01   2.027109e-02
-1.668000e-01   4.548693e-01   2.137990e-02
-1.660000e-01   4.952708e-01   2.648863e-02
-1.652000e-01   5.091116e-01   2.479212e-02
-1.644000e-01   4.880234e-01   1.498221e-02
-1.636000e-01   4.812365e-01   1.798962e-02
-1.628000e-01   5.135650e-01   2.703715e-02
-1.620000e-01   5.042003e-01   1.694763e-02
-1.612000e-01   5.905038e-01   2.815035e-02
-1.604000e-01   5.466083e-01   2.047442e-02
-1.596000e-01   5.854478e-01   3.621063e-02
-1.588000e-01   5.465725e-01   1.739189e-02
-1.580000e-01   5.334343e-01   2.250434e-02
-1.572000e-01   5.749373e-01   2.112086e-02
-1.564000e-01   5.862502e-01   3.005860e-02
-1.556000e-01   6.078327e-01   3.993957e-02
-1.548000e-01   6.115257e-01   2.848388e-02
-1.540000e-01   6.084480e-01   2.866985e-02
-1.532000e-01   6.070186e-01   2.596234e-02
-1.524000e-01   6.266530e-01   2.839826e-02
-1.516000e-01   6.003698e-01   1.903988e-02
-1.508000e-01   6.423279e-01   2.342288e-02
-1.500000e-01   6.488715e-01   3.012594e-02
-1.492000e-01   6.417921e-01   2.531402e-02
-1.484000e-01   7.041164e-01   2.373883e-02
-1.476000e-01   6.895553e-01   3.787828e-02
-1.468000e-01   6.436529e-01   2.582937e-02
-1.460000e-01   6.712073e-01   3.963941e-02
-1.452000e-01   7.653609e-01   4.300912e-02
-1.444000e-01   8.572389e-01   5.296224e-02
-1.436000e-01   7.767489e-01   3.607759e-02
