x5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   2.483589e-01   1.153655e-02
-1.900000e-01   3.505359e-01   1.731591e-02
-1.892000e-01   3.285681e-01   8.238881e-03
-1.884000e-01   3.547931e-01   1.656766e-02
-1.876000e-01   3.186062e-01   1.194012e-02
-1.868000e-01   2.766146e-01   1.091689e-02
-1.860000e-01   3.350758e-01   1.233333e-02
-1.852000e-01   3.724854e-01   1.881644e-02
-1.844000e-01   3.423824e-01   1.707857e-02
-1.836000e-01   3.046044e-01   7.608549e-03
-1.828000e-01   3.130761e-01   1.145005e-02
-1.820000e-01   3.191289e-01   1.246082e-02
-1.812000e-01   3.502896e-01   1.497767e-02
-1.804000e-01   3.740318e-01   1.244010e-02
-1.796000e-01   3.601738e-01   1.290635e-02
-1.788000e-01   3.719868e-01   7.590366e-03
-1.780000e-01   4.089619e-01   2.209004e-02
-1.772000e-01   3.706755e-01   2.213367e-02
-1.764000e-01   3.933095e-01   2.259362e-02
-1.756000e-01   4.208598e-01   1.527499e-02
-1.748000e-01   3.331845e-01   1.229765e-02
-1.740000e-01   4.170080e-01   1.657344e-02
-1.732000e-01   4.292245e-01   2.165433e-02
-1.724000e-01   4.525147e-01   1.983357e-02
-1.716000e-01   3.865602e-01   1.147479e-02
-1.708000e-01   3.735923e-01   1.188779e-02
-1.700000e-01   4.308164e-01   1.341425e-02
-1.692000e-01   4.098567e-01   1.164613e-02
-1.684000e-01   5.137915e-01   3.814931e-02
-1.676000e-01   4.551693e-01   1.637575e-02
-1.668000e-01   4.206418e-01   2.213471e-02
-1.660000e-01   5.051330e-01   2.509052e-02
-1.652000e-01   4.759100e-01   5.075525e-02
-1.644000e-01   4.867018e-01   2.326331e-02
-1.636000e-01   5.635792e-01   1.987445e-02
-1.628000e-01   4.774413e-01   2.528583e-02
-1.620000e-01   5.018202e-01   2.140086e-02
-1.612000e-01   5.270670e-01   2.551097e-02
-1.604000e-01   5.176977e-01   2.842251e-02
-1.596000e-01   5.317266e-01   2.116566e-02
-1.588000e-01   5.188250e-01   2.375205e-02
-1.580000e-01   5.114940e-01   2.460073e-02
-1.572000e-01   5.298232e-01   2.345919e-02
-1.564000e-01   6.142107e-01   3.616191e-02
-1.556000e-01   5.528619e-01   2.166147e-02
-1.548000e-01   6.553682e-01   3.091825e-02
-1.540000e-01   6.690348e-01   2.742806e-02
-1.532000e-01   6.062486e-01   3.047245e-02
-1.524000e-01   5.827062e-01   2.002284e-02
-1.516000e-01   6.098223e-01   4.847645e-02
-1.508000e-01   5.952305e-01   1.490036e-02
-1.500000e-01   6.583040e-01   3.102853e-02
-1.492000e-01   6.201774e-01   2.015407e-02
-1.484000e-01   6.489349e-01   2.553544e-02
-1.476000e-01   7.024617e-01   4.081208e-02
-1.468000e-01   6.673087e-01   2.872791e-02
-1.460000e-01   7.090702e-01   3.461580e-02
-1.452000e-01   7.247362e-01   3.438861e-02
-1.444000e-01   7.626119e-01   3.555228e-02
-1.436000e-01   8.523466e-01   4.316287e-02
