x5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   3.259338e-01   1.958228e-02
-1.900000e-01   3.748765e-01   1.064718e-02
-1.892000e-01   3.967235e-01   1.723437e-02
-1.884000e-01   4.117234e-01   2.240758e-02
-1.876000e-01   4.198160e-01   1.341728e-02
-1.868000e-01   4.461585e-01   2.217548e-02
-1.860000e-01   4.549652e-01   2.258884e-02
-1.852000e-01   4.175098e-01   2.364675e-02
-1.844000e-01   4.669880e-01   2.411831e-02
-1.836000e-01   4.896993e-01   2.085583e-02
-1.828000e-01   4.617153e-01   1.633673e-02
-1.820000e-01   4.949943e-01   2.217965e-02
-1.812000e-01   4.639268e-01   1.662282e-02
-1.804000e-01   4.857602e-01   3.622689e-02
-1.796000e-01   4.602367e-01   2.049831e-02
-1.788000e-01   5.110484e-01   2.295123e-02
-1.780000e-01   4.728642e-01   1.953209e-02
-1.772000e-01   5.182360e-01   2.803781e-02
-1.764000e-01   4.893077e-01   1.904319e-02
-1.756000e-01   4.603032e-01   1.380488e-02
-1.748000e-01   5.710662e-01   3.453211e-02
-1.740000e-01   5.679236e-01   2.552952e-02
-1.732000e-01   5.788476e-01   3.452165e-02
-1.724000e-01   5.728015e-01   3.228453e-02
-1.716000e-01   5.194701e-01   1.829610e-02
-1.708000e-01   5.590357e-01   2.539127e-02
-1.700000e-01   6.024313e-01   2.998770e-02
-1.692000e-01   6.038120e-01   2.822345e-02
-1.684000e-01   5.818206e-01   1.918080e-02
-1.676000e-01   6.052872e-01   1.877973e-02
-1.668000e-01   6.062569e-01   2.294260e-02
-1.660000e-01   6.050895e-01   2.634413e-02
-1.652000e-01   5.889420e-01   2.125369e-02
-1.644000e-01   6.537683e-01   3.234410e-02
-1.636000e-01   5.780609e-01   1.290226e-02
-1.628000e-01   7.369873e-01   3.426998e-02
-1.620000e-01   6.736011e-01   3.553159e-02
-1.612000e-01   6.241551e-01   2.038955e-02
-1.604000e-01   6.862622e-01   2.688012e-02
-1.596000e-01   7.717340e-01   5.343174e-02
-1.588000e-01   7.326037e-01   3.242144e-02
-1.580000e-01   6.813511e-01   1.896053e-02
-1.572000e-01   8.000048e-01   5.354699e-02
-1.564000e-01   7.584198e-01   3.360889e-02
-1.556000e-01   7.049513e-01   2.599020e-02
-1.548000e-01   7.654451e-01   2.559508e-02
-1.540000e-01   7.854232e-01   3.028857e-02
-1.532000e-01   7.978821e-01   3.524624e-02
-1.524000e-01   9.122238e-01   5.661649e-02
-1.516000e-01   7.537442e-01   3.154271e-02
-1.508000e-01   8.336603e-01   3.514641e-02
-1.500000e-01   8.381926e-01   3.500787e-02
-1.492000e-01   8.626433e-01   3.793656e-02
-1.484000e-01   8.638902e-01   5.295159e-02
-1.476000e-01   1.022073e+00   9.277208e-02
-1.468000e-01   8.508175e-01   3.087123e-02
-1.460000e-01   9.484632e-01   3.031585e-02
-1.452000e-01   8.970775e-01   3.526129e-02
-1.444000e-01   9.253251e-01   4.217425e-02
-1.436000e-01   9.450263e-01   4.945153e-02
