x5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   2.593021e-01   1.781240e-02
-1.900000e-01   3.202171e-01   2.686316e-02
-1.892000e-01   3.118196e-01   1.478264e-02
-1.884000e-01   4.896421e-01   7.291941e-02
-1.876000e-01   3.468666e-01   3.177780e-02
-1.868000e-01   3.376428e-01   2.510388e-02
-1.860000e-01   3.340752e-01   1.616863e-02
-1.852000e-01   4.096535e-01   5.167024e-02
-1.844000e-01   3.357514e-01   1.362410e-02
-1.836000e-01   3.282685e-01   1.945791e-02
-1.828000e-01   3.538503e-01   1.033614e-02
-1.820000e-01   3.359833e-01   2.156515e-02
-1.812000e-01   3.901327e-01   2.817629e-02
-1.804000e-01   3.895107e-01   3.270972e-02
-1.796000e-01   3.571166e-01   3.286350e-02
-1.788000e-01   3.896913e-01   1.806247e-02
-1.780000e-01   4.044756e-01   2.795334e-02
-1.772000e-01   3.708604e-01   2.477187e-02
-1.764000e-01   4.320827e-01   3.078950e-02
-1.756000e-01   3.906138e-01   2.621991e-02
-1.748000e-01   4.529528e-01   2.118656e-02
-1.740000e-01   4.355446e-01   3.283470e-02
-1.732000e-01   5.727068e-01   1.491521e-01
-1.724000e-01   5.460721e-01   6.921606e-02
-1.716000e-01   4.350569e-01   3.186842e-02
-1.708000e-01   4.434811e-01   2.886850e-02
-1.700000e-01   4.684713e-01   2.820170e-02
-1.692000e-01   4.739922e-01   4.202529e-02
-1.684000e-01   6.197160e-01   9.157923e-02
-1.676000e-01   5.208774e-01   3.418814e-02
-1.668000e-01   5.158279e-01   4.964980e-02
-1.660000e-01   5.211031e-01   4.368101e-02
-1.652000e-01   5.511258e-01   5.261822e-02
-1.644000e-01   4.910777e-01   4.862414e-02
-1.636000e-01   5.657965e-01   5.400523e-02
-1.628000e-01   5.846708e-01   5.346632e-02
-1.620000e-01   5.364922e-01   3.590621e-02
-1.612000e-01   6.558877e-01   6.701950e-02
-1.604000e-01   5.874334e-01   6.027500e-02
-1.596000e-01   6.357133e-01   4.293687e-02
-1.588000e-01   5.586979e-01   2.584995e-02
-1.580000e-01   5.712518e-01   4.279535e-02
-1.572000e-01   6.700747e-01   8.585079e-02
-1.564000e-01   5.694273e-01   3.527400e-02
-1.556000e-01   6.994421e-01   5.649468e-02
-1.548000e-01   7.377512e-01   9.650143e-02
-1.540000e-01   6.109989e-01   3.979677e-02
-1.532000e-01   7.846448e-01   7.987617e-02
-1.524000e-01   6.763174e-01   4.738238e-02
-1.516000e-01   7.118981e-01   7.796132e-02
-1.508000e-01   6.279751e-01   6.755034e-02
-1.500000e-01   6.902092e-01   4.308761e-02
-1.492000e-01   6.551359e-01   3.431134e-02
-1.484000e-01   6.107492e-01   2.404132e-02
-1.476000e-01   6.735657e-01   4.361505e-02
-1.468000e-01   7.369241e-01   6.808494e-02
-1.460000e-01   7.122323e-01   6.742083e-02
-1.452000e-01   7.288913e-01   5.302694e-02
-1.444000e-01   1.339347e+00   4.900143e-01
-1.436000e-01   7.198183e-01   7.050604e-02
