x5_lab bin centers    value    Error 
-inf   2.085443e-03   8.451456e-05
-1.900450e-01   2.158215e-02   1.040282e-03
-1.881350e-01   2.087749e-02   9.722565e-04
-1.862250e-01   2.131464e-02   5.659373e-04
-1.843150e-01   2.369747e-02   1.194732e-03
-1.824050e-01   2.714906e-02   2.462700e-03
-1.804950e-01   2.354435e-02   1.782331e-03
-1.785850e-01   2.632283e-02   1.391534e-03
-1.766750e-01   2.550303e-02   1.220253e-03
-1.747650e-01   2.616703e-02   7.703639e-04
-1.728550e-01   2.728254e-02   1.346764e-03
-1.709450e-01   3.607393e-02   2.764170e-03
-1.690350e-01   3.209711e-02   1.696125e-03
-1.671250e-01   3.040857e-02   1.243681e-03
-1.652150e-01   3.256339e-02   1.820060e-03
-1.633050e-01   3.170767e-02   1.186125e-03
-1.613950e-01   2.876456e-02   8.359605e-04
-1.594850e-01   3.392507e-02   1.589928e-03
-1.575750e-01   3.510603e-02   1.421730e-03
-1.556650e-01   4.092509e-02   2.129803e-03
-1.537550e-01   3.767304e-02   9.150832e-04
-1.518450e-01   3.447705e-02   9.028764e-04
-1.499350e-01   4.259517e-02   2.545006e-03
-1.480250e-01   4.102473e-02   1.705305e-03
-1.461150e-01   4.388474e-02   1.590013e-03
-1.442050e-01   4.640952e-02   1.481656e-03
-1.422950e-01   5.496290e-02   3.268008e-03
-1.403850e-01   5.349802e-02   1.906248e-03
-1.384750e-01   4.934671e-02   2.288396e-03
-1.365650e-01   5.652907e-02   2.470003e-03
-1.346550e-01   6.049981e-02   3.753116e-03
-1.327450e-01   6.885775e-02   4.531254e-03
-1.308350e-01   6.592481e-02   2.813854e-03
-1.289250e-01   6.000505e-02   1.518044e-03
-1.270150e-01   7.601166e-02   6.401375e-03
-1.251050e-01   6.873987e-02   2.136732e-03
-1.231950e-01   7.155921e-02   3.252378e-03
-1.212850e-01   6.952146e-02   1.751323e-03
-1.193750e-01   8.312907e-02   3.153606e-03
-1.174650e-01   7.739603e-02   2.456780e-03
-1.155550e-01   8.857161e-02   2.964653e-03
