x5_lab bin centers    value    Error 
-inf   1.902297e-03   3.704843e-05
-1.900450e-01   2.019799e-02   7.759899e-04
-1.881350e-01   2.181729e-02   1.034761e-03
-1.862250e-01   2.287586e-02   1.185102e-03
-1.843150e-01   2.307362e-02   1.117301e-03
-1.824050e-01   2.463605e-02   9.295292e-04
-1.804950e-01   2.765233e-02   2.121012e-03
-1.785850e-01   2.478003e-02   8.558868e-04
-1.766750e-01   2.892204e-02   1.524821e-03
-1.747650e-01   2.941297e-02   1.208216e-03
-1.728550e-01   2.673436e-02   6.970107e-04
-1.709450e-01   2.887022e-02   1.539065e-03
-1.690350e-01   2.897395e-02   1.088275e-03
-1.671250e-01   3.570508e-02   2.113177e-03
-1.652150e-01   3.100530e-02   1.309732e-03
-1.633050e-01   3.437643e-02   1.525524e-03
-1.613950e-01   3.568914e-02   1.369795e-03
-1.594850e-01   3.365122e-02   1.036351e-03
-1.575750e-01   3.841515e-02   2.409130e-03
-1.556650e-01   3.997086e-02   1.925593e-03
-1.537550e-01   4.187745e-02   1.886960e-03
-1.518450e-01   4.265747e-02   1.653727e-03
-1.499350e-01   4.556820e-02   2.091790e-03
-1.480250e-01   4.713598e-02   1.988748e-03
-1.461150e-01   4.691318e-02   2.095738e-03
-1.442050e-01   5.333122e-02   2.535221e-03
-1.422950e-01   4.935243e-02   1.798483e-03
-1.403850e-01   5.457171e-02   2.489362e-03
-1.384750e-01   5.289955e-02   2.457530e-03
-1.365650e-01   5.608238e-02   1.318585e-03
-1.346550e-01   6.265251e-02   2.655407e-03
-1.327450e-01   6.115379e-02   2.114620e-03
-1.308350e-01   6.349038e-02   1.867572e-03
-1.289250e-01   6.640662e-02   1.906124e-03
-1.270150e-01   8.122082e-02   6.841318e-03
-1.251050e-01   7.753198e-02   2.910981e-03
-1.231950e-01   7.255494e-02   1.961851e-03
-1.212850e-01   7.087037e-02   2.013538e-03
-1.193750e-01   8.646804e-02   3.532539e-03
-1.174650e-01   1.133257e-01   1.160570e-02
-1.155550e-01   9.042717e-02   5.979707e-03
-1.136450e-01   9.869405e-02   3.947633e-03
-1.117350e-01   9.323243e-02   3.551370e-03
-1.098250e-01   9.844010e-02   4.817042e-03
-1.079150e-01   1.137539e-01   5.563879e-03
-1.060050e-01   1.143468e-01   5.138088e-03
-1.040950e-01   1.224023e-01   6.377520e-03
-1.021850e-01   1.161799e-01   3.836493e-03
-1.002750e-01   1.355760e-01   7.176582e-03
-9.836500e-02   1.482760e-01   9.442806e-03
-9.645500e-02   1.468818e-01   5.766211e-03
