x5_lab bin centers    value    Error 
-inf   1.748166e-03   1.997768e-04
-1.996000e-01   5.942298e-03   1.437086e-03
-1.988000e-01   1.983359e-03   7.443087e-04
-1.980000e-01   4.064226e-03   1.596884e-03
-1.972000e-01   2.507516e-03   1.008501e-03
-1.964000e-01   1.973358e-03   6.147823e-04
-1.956000e-01   5.293091e-03   2.336283e-03
-1.948000e-01   7.647608e-03   2.498217e-03
-1.940000e-01   6.159319e-03   1.578897e-03
-1.932000e-01   1.189920e-02   3.704693e-03
-1.924000e-01   1.166504e-02   3.573841e-03
-1.916000e-01   5.210791e-03   1.303310e-03
-1.908000e-01   5.293217e-02   1.601096e-02
-1.900000e-01   2.760707e-02   2.729216e-03
-1.892000e-01   3.169163e-02   4.951742e-03
-1.884000e-01   2.109736e-02   2.087463e-03
-1.876000e-01   1.821896e-02   1.774550e-03
-1.868000e-01   3.194646e-02   4.316018e-03
-1.860000e-01   2.545847e-02   2.952666e-03
-1.852000e-01   2.827449e-02   4.383099e-03
-1.844000e-01   3.702980e-02   7.048755e-03
-1.836000e-01   4.330044e-02   6.443389e-03
-1.828000e-01   2.850886e-02   3.495969e-03
-1.820000e-01   2.753051e-02   4.538680e-03
-1.812000e-01   2.433035e-02   2.153598e-03
-1.804000e-01   4.474218e-02   7.320439e-03
-1.796000e-01   2.802025e-02   3.280625e-03
-1.788000e-01   3.974731e-02   8.382778e-03
-1.780000e-01   3.372031e-02   4.398590e-03
-1.772000e-01   3.104603e-02   2.748406e-03
-1.764000e-01   3.904032e-02   4.560193e-03
-1.756000e-01   4.105360e-02   6.928680e-03
-1.748000e-01   2.845600e-02   2.526393e-03
-1.740000e-01   3.229169e-02   2.742295e-03
-1.732000e-01   4.757482e-02   6.746728e-03
-1.724000e-01   5.463035e-02   1.370749e-02
-1.716000e-01   2.936838e-02   2.817356e-03
-1.708000e-01   4.042956e-02   4.524570e-03
-1.700000e-01   3.809039e-02   4.899628e-03
-1.692000e-01   3.356308e-02   2.677204e-03
-1.684000e-01   4.972657e-02   6.651464e-03
-1.676000e-01   2.732783e-02   2.072631e-03
-1.668000e-01   4.019873e-02   3.367775e-03
-1.660000e-01   4.372297e-02   4.828133e-03
-1.652000e-01   5.190859e-02   5.558714e-03
-1.644000e-01   3.766135e-02   3.157629e-03
-1.636000e-01   3.749731e-02   3.491691e-03
-1.628000e-01   4.526487e-02   3.941761e-03
-1.620000e-01   4.217166e-02   4.403332e-03
-1.612000e-01   4.237265e-02   5.355456e-03
-1.604000e-01   4.843419e-02   4.828814e-03
-1.596000e-01   4.705040e-02   3.365341e-03
-1.588000e-01   4.163371e-02   4.367465e-03
-1.580000e-01   5.776650e-02   6.423256e-03
-1.572000e-01   5.596633e-02   8.033811e-03
-1.564000e-01   5.256974e-02   5.657751e-03
-1.556000e-01   4.527974e-02   4.006032e-03
-1.548000e-01   6.191853e-02   6.600599e-03
-1.540000e-01   7.635058e-02   1.053262e-02
