x5_lab bin centers    value    Error 
-inf   1.571334e-02   2.376952e-03
-1.996000e-01   4.925160e-02   1.185913e-02
-1.988000e-01   8.239910e-02   2.100267e-02
-1.980000e-01   4.135520e-02   7.293905e-03
-1.972000e-01   3.331816e-02   5.309607e-03
-1.964000e-01   6.205018e-02   1.090176e-02
-1.956000e-01   4.010082e-02   4.901863e-03
-1.948000e-01   3.882079e-02   7.638596e-03
-1.940000e-01   5.252954e-02   9.918482e-03
-1.932000e-01   4.646066e-02   8.582223e-03
-1.924000e-01   7.374509e-02   1.791495e-02
-1.916000e-01   3.252320e-02   7.018065e-03
-1.908000e-01   1.239197e-01   1.664268e-02
-1.900000e-01   1.104769e-01   7.706153e-03
-1.892000e-01   1.197229e-01   1.032367e-02
-1.884000e-01   1.854191e-01   3.552276e-02
-1.876000e-01   1.118838e-01   7.601556e-03
-1.868000e-01   1.236729e-01   1.165419e-02
-1.860000e-01   1.344923e-01   1.322546e-02
-1.852000e-01   1.381108e-01   1.321618e-02
-1.844000e-01   1.442147e-01   1.824361e-02
-1.836000e-01   1.619380e-01   1.795841e-02
-1.828000e-01   1.483656e-01   1.188636e-02
-1.820000e-01   2.348878e-01   4.502332e-02
-1.812000e-01   1.899875e-01   2.561160e-02
-1.804000e-01   1.902702e-01   1.854309e-02
-1.796000e-01   1.860837e-01   2.216247e-02
-1.788000e-01   1.631374e-01   1.427227e-02
-1.780000e-01   1.747157e-01   1.890679e-02
-1.772000e-01   1.710316e-01   1.725521e-02
-1.764000e-01   1.504288e-01   1.376966e-02
-1.756000e-01   1.469246e-01   1.127882e-02
-1.748000e-01   2.050820e-01   2.081797e-02
-1.740000e-01   2.032184e-01   2.986845e-02
-1.732000e-01   2.314684e-01   3.148946e-02
-1.724000e-01   2.402669e-01   2.995721e-02
-1.716000e-01   1.661155e-01   1.214952e-02
-1.708000e-01   1.794612e-01   1.156731e-02
-1.700000e-01   1.996846e-01   1.883344e-02
-1.692000e-01   2.132407e-01   2.721435e-02
-1.684000e-01   1.948790e-01   1.866134e-02
-1.676000e-01   2.382950e-01   3.380361e-02
-1.668000e-01   2.060862e-01   1.811987e-02
-1.660000e-01   2.377623e-01   2.446663e-02
-1.652000e-01   2.000250e-01   1.937913e-02
-1.644000e-01   2.110862e-01   1.768952e-02
-1.636000e-01   2.009673e-01   1.721121e-02
-1.628000e-01   2.195516e-01   1.729057e-02
-1.620000e-01   2.949517e-01   3.755506e-02
-1.612000e-01   2.344544e-01   2.716012e-02
-1.604000e-01   2.145774e-01   1.426719e-02
-1.596000e-01   2.345316e-01   1.523744e-02
-1.588000e-01   3.087597e-01   5.746642e-02
-1.580000e-01   2.568733e-01   1.813862e-02
-1.572000e-01   2.254058e-01   2.630974e-02
-1.564000e-01   3.030107e-01   4.648206e-02
-1.556000e-01   2.449527e-01   2.088684e-02
-1.548000e-01   2.552249e-01   2.128675e-02
-1.540000e-01   2.763639e-01   2.471306e-02
-1.532000e-01   3.065956e-01   2.690071e-02
-1.524000e-01   2.788424e-01   1.697208e-02
-1.516000e-01   2.852607e-01   1.958397e-02
-1.508000e-01   3.077175e-01   2.239457e-02
-1.500000e-01   3.693742e-01   4.712564e-02
-1.492000e-01   2.614315e-01   2.181834e-02
-1.484000e-01   2.756429e-01   1.793652e-02
-1.476000e-01   4.941591e-01   9.432851e-02
-1.468000e-01   3.748046e-01   4.694203e-02
-1.460000e-01   3.668718e-01   5.007009e-02
-1.452000e-01   3.518567e-01   4.571110e-02
-1.444000e-01   3.428519e-01   2.284282e-02
