x5_lab bin centers    value    Error 
-inf   1.260834e-12   1.260834e-12
-1.906180e-01   0.000000e+00   0.000000e+00
-1.898540e-01   0.000000e+00   0.000000e+00
-1.890900e-01   0.000000e+00   0.000000e+00
-1.883260e-01   0.000000e+00   0.000000e+00
-1.875620e-01   0.000000e+00   0.000000e+00
-1.867980e-01   0.000000e+00   0.000000e+00
-1.860340e-01   0.000000e+00   0.000000e+00
-1.852700e-01   0.000000e+00   0.000000e+00
-1.845060e-01   0.000000e+00   0.000000e+00
-1.837420e-01   0.000000e+00   0.000000e+00
-1.829780e-01   0.000000e+00   0.000000e+00
-1.822140e-01   0.000000e+00   0.000000e+00
-1.814500e-01   0.000000e+00   0.000000e+00
-1.806860e-01   0.000000e+00   0.000000e+00
-1.799220e-01   0.000000e+00   0.000000e+00
-1.791580e-01   0.000000e+00   0.000000e+00
-1.783940e-01   0.000000e+00   0.000000e+00
-1.776300e-01   0.000000e+00   0.000000e+00
-1.768660e-01   0.000000e+00   0.000000e+00
-1.761020e-01   0.000000e+00   0.000000e+00
-1.753380e-01   0.000000e+00   0.000000e+00
-1.745740e-01   0.000000e+00   0.000000e+00
-1.738100e-01   0.000000e+00   0.000000e+00
-1.730460e-01   0.000000e+00   0.000000e+00
-1.722820e-01   0.000000e+00   0.000000e+00
-1.715180e-01   0.000000e+00   0.000000e+00
-1.707540e-01   0.000000e+00   0.000000e+00
-1.699900e-01   0.000000e+00   0.000000e+00
-1.692260e-01   0.000000e+00   0.000000e+00
-1.684620e-01   0.000000e+00   0.000000e+00
-1.676980e-01   0.000000e+00   0.000000e+00
-1.669340e-01   0.000000e+00   0.000000e+00
-1.661700e-01   0.000000e+00   0.000000e+00
-1.654060e-01   0.000000e+00   0.000000e+00
-1.646420e-01   0.000000e+00   0.000000e+00
-1.638780e-01   0.000000e+00   0.000000e+00
-1.631140e-01   0.000000e+00   0.000000e+00
-1.623500e-01   0.000000e+00   0.000000e+00
-1.615860e-01   0.000000e+00   0.000000e+00
-1.608220e-01   0.000000e+00   0.000000e+00
-1.600580e-01   0.000000e+00   0.000000e+00
-1.592940e-01   0.000000e+00   0.000000e+00
-1.585300e-01   0.000000e+00   0.000000e+00
-1.577660e-01   0.000000e+00   0.000000e+00
-1.570020e-01   0.000000e+00   0.000000e+00
-1.562380e-01   0.000000e+00   0.000000e+00
-1.554740e-01   0.000000e+00   0.000000e+00
-1.547100e-01   7.130716e-10   7.130715e-10
-1.539460e-01   0.000000e+00   0.000000e+00
-1.531820e-01   2.290300e-03   1.993322e-03
-1.524180e-01   1.838928e-03   1.177015e-03
-1.516540e-01   0.000000e+00   0.000000e+00
-1.508900e-01   0.000000e+00   0.000000e+00
-1.501260e-01   8.940779e-04   7.371649e-04
-1.493620e-01   9.034331e-04   7.726077e-04
-1.485980e-01   0.000000e+00   0.000000e+00
-1.478340e-01   0.000000e+00   0.000000e+00
-1.470700e-01   1.888282e-03   1.503060e-03
-1.463060e-01   6.928847e-04   5.969695e-04
-1.455420e-01   2.337144e-04   1.771441e-04
-1.447780e-01   2.024471e-03   1.709550e-03
-1.440140e-01   0.000000e+00   0.000000e+00
-1.432500e-01   2.505870e-03   2.465982e-03
-1.424860e-01   0.000000e+00   0.000000e+00
-1.417220e-01   0.000000e+00   0.000000e+00
-1.409580e-01   0.000000e+00   0.000000e+00
-1.401940e-01   0.000000e+00   0.000000e+00
-1.394300e-01   2.145369e-03   1.459124e-03
-1.386660e-01   3.474519e-03   2.073940e-03
-1.379020e-01   1.904067e-03   1.336034e-03
-1.371380e-01   0.000000e+00   0.000000e+00
-1.363740e-01   0.000000e+00   0.000000e+00
-1.356100e-01   2.119230e-03   1.150489e-03
-1.348460e-01   6.646952e-04   5.376719e-04
-1.340820e-01   0.000000e+00   0.000000e+00
-1.333180e-01   3.458956e-03   2.134149e-03
-1.325540e-01   1.716612e-03   1.021609e-03
-1.317900e-01   3.715137e-03   1.979529e-03
-1.310260e-01   6.907592e-04   4.349301e-04
-1.302620e-01   1.909934e-03   1.100548e-03
-1.294980e-01   0.000000e+00   0.000000e+00
-1.287340e-01   2.758693e-03   1.463027e-03
-1.279700e-01   0.000000e+00   0.000000e+00
-1.272060e-01   0.000000e+00   0.000000e+00
-1.264420e-01   4.342709e-03   2.730038e-03
-1.256780e-01   2.130677e-04   1.907991e-04
-1.249140e-01   0.000000e+00   0.000000e+00
-1.241500e-01   1.965116e-03   1.218508e-03
-1.233860e-01   2.754526e-03   1.836462e-03
-1.226220e-01   5.032582e-03   3.187623e-03
-1.218580e-01   4.125443e-03   2.300375e-03
-1.210940e-01   8.802950e-04   6.357936e-04
-1.203300e-01   0.000000e+00   0.000000e+00
-1.195660e-01   3.152601e-03   1.338740e-03
-1.188020e-01   3.751589e-03   1.935019e-03
-1.180380e-01   4.619139e-05   4.409290e-05
-1.172740e-01   1.737484e-03   1.341847e-03
-1.165100e-01   2.487025e-03   1.557818e-03
-1.157460e-01   2.003493e-03   1.481167e-03
-1.149820e-01   4.295813e-03   3.008751e-03
-1.142180e-01   3.044612e-03   1.692283e-03
-1.134540e-01   1.865322e-03   9.762053e-04
-1.126900e-01   0.000000e+00   0.000000e+00
-1.119260e-01   4.691737e-04   4.537788e-04
-1.111620e-01   1.973048e-03   1.032844e-03
-1.103980e-01   4.766056e-03   2.272554e-03
-1.096340e-01   1.049937e-03   8.486261e-04
-1.088700e-01   2.760054e-03   1.749815e-03
-1.081060e-01   2.238378e-03   1.544106e-03
-1.073420e-01   9.346496e-03   4.550052e-03
-1.065780e-01   1.141836e-02   5.645337e-03
-1.058140e-01   7.202278e-04   5.980615e-04
-1.050500e-01   5.108614e-03   2.405222e-03
-1.042860e-01   7.907618e-03   4.157687e-03
-1.035220e-01   2.865446e-04   2.658403e-04
-1.027580e-01   5.133580e-03   2.942385e-03
-1.019940e-01   3.865165e-03   2.621654e-03
-1.012300e-01   1.355758e-03   1.195523e-03
-1.004660e-01   1.039318e-02   5.132688e-03
-9.970200e-02   5.950977e-03   4.284561e-03
-9.893800e-02   7.779366e-03   4.608203e-03
-9.817400e-02   3.979323e-04   3.706563e-04
-9.741000e-02   7.898441e-03   3.877377e-03
-9.664600e-02   1.160657e-02   5.459081e-03
-9.588200e-02   3.409257e-03   1.649745e-03
-9.511800e-02   3.496185e-05   3.490218e-05
-9.435400e-02   7.879923e-03   3.604794e-03
-9.359000e-02   3.665990e-03   2.164418e-03
-9.282600e-02   1.959939e-02   9.434538e-03
-9.206200e-02   1.054622e-02   5.091785e-03
-9.129800e-02   3.794019e-03   2.410785e-03
-9.053400e-02   2.808302e-03   1.883828e-03
-8.977000e-02   1.605411e-03   1.072583e-03
-8.900600e-02   6.952399e-03   4.213651e-03
-8.824200e-02   7.486963e-03   4.439704e-03
-8.747800e-02   1.830535e-03   1.140832e-03
-8.671400e-02   3.137840e-03   2.138484e-03
-8.595000e-02   1.202455e-02   5.346949e-03
-8.518600e-02   6.929755e-03   4.138984e-03
-8.442200e-02   2.876309e-03   1.885357e-03
-8.365800e-02   1.314974e-02   6.399331e-03
-8.289400e-02   7.944693e-03   4.192709e-03
-8.213000e-02   1.358208e-02   7.232991e-03
-8.136600e-02   1.745620e-02   7.792561e-03
-8.060200e-02   6.739800e-03   3.342511e-03
-7.983800e-02   1.461748e-02   6.922525e-03
-7.907400e-02   9.608772e-03   5.415756e-03
-7.831000e-02   6.107584e-03   3.466150e-03
-7.754600e-02   2.892300e-02   1.328687e-02
-7.678200e-02   8.608348e-03   5.510440e-03
-7.601800e-02   1.442084e-02   7.024743e-03
-7.525400e-02   6.580806e-03   3.451914e-03
-7.449000e-02   1.446820e-02   6.818647e-03
-7.372600e-02   1.598935e-02   7.790309e-03
-7.296200e-02   2.584536e-03   1.771092e-03
-7.219800e-02   1.882108e-02   8.682647e-03
-7.143400e-02   3.442839e-03   2.517953e-03
-7.067000e-02   2.411698e-02   1.073049e-02
-6.990600e-02   1.285981e-02   6.197853e-03
-6.914200e-02   1.342729e-02   6.380898e-03
-6.837800e-02   2.017262e-02   9.400362e-03
-6.761400e-02   2.188963e-02   1.354300e-02
-6.685000e-02   2.461767e-02   1.139546e-02
-6.608600e-02   2.647615e-02   1.128823e-02
-6.532200e-02   4.981303e-03   3.014189e-03
-6.455800e-02   2.268829e-02   1.174762e-02
-6.379400e-02   4.243092e-02   2.044808e-02
-6.303000e-02   1.264677e-03   1.131202e-03
-6.226600e-02   3.081363e-02   1.409428e-02
-6.150200e-02   6.015539e-03   3.531764e-03
-6.073800e-02   2.873442e-02   1.281616e-02
-5.997400e-02   1.878455e-02   1.024785e-02
-5.921000e-02   6.551548e-03   4.366077e-03
-5.844600e-02   2.407248e-02   1.317829e-02
-5.768200e-02   1.816712e-02   8.776087e-03
-5.691800e-02   1.353244e-02   7.510075e-03
-5.615400e-02   3.384494e-02   2.255551e-02
-5.539000e-02   2.511835e-02   1.154941e-02
-5.462600e-02   1.249140e-02   6.755495e-03
-5.386200e-02   1.237622e-02   6.622342e-03
-5.309800e-02   3.168509e-02   1.766864e-02
-5.233400e-02   3.121553e-02   1.825824e-02
-5.157000e-02   3.162921e-02   1.524446e-02
-5.080600e-02   1.990878e-02   9.643117e-03
-5.004200e-02   2.072044e-02   1.214336e-02
