x5_lab bin centers    value    Error 
-inf   4.226473e-04   3.119225e-04
-1.871800e-01   0.000000e+00   0.000000e+00
-1.795400e-01   4.941166e-03   4.941160e-03
-1.719000e-01   6.444382e-03   6.444382e-03
-1.642600e-01   1.453281e-03   1.453281e-03
-1.566200e-01   1.333970e-03   1.333970e-03
-1.489800e-01   2.803007e-02   2.753026e-02
-1.413400e-01   0.000000e+00   0.000000e+00
-1.337000e-01   1.559870e-04   1.559870e-04
-1.260600e-01   1.779958e-02   1.561667e-02
-1.184200e-01   3.031037e-02   2.988822e-02
-1.107800e-01   1.641372e-02   1.633732e-02
-1.031400e-01   1.422966e-02   1.215268e-02
-9.550000e-02   4.306093e-02   2.978115e-02
-8.786000e-02   6.195922e-02   3.856868e-02
-8.022000e-02   3.726834e-02   2.038898e-02
-7.258000e-02   4.434622e-02   3.091880e-02
-6.494000e-02   7.782121e-02   5.059132e-02
-5.730000e-02   1.263280e-01   7.239182e-02
-4.966000e-02   3.388066e-01   2.439600e-01
-4.202000e-02   2.169210e-01   1.302671e-01
-3.438000e-02   5.121744e-01   3.304185e-01
-2.674000e-02   4.071182e-01   2.367321e-01
-1.910000e-02   1.223542e+00   5.664171e-01
-1.146000e-02   5.234793e-01   2.934218e-01
-3.820000e-03   3.606922e-01   1.937947e-01
 3.820000e-03   7.968278e-01   4.306451e-01
 1.146000e-02   6.529603e-01   3.325284e-01
 1.910000e-02   3.457723e-01   1.864918e-01
 2.674000e-02   6.446905e-01   3.619253e-01
 3.438000e-02   2.283724e-01   1.289232e-01
 4.202000e-02   4.598405e-01   3.222748e-01
 4.966000e-02   2.001401e-01   1.079872e-01
 5.730000e-02   7.896354e-02   4.147104e-02
 6.494000e-02   1.144751e-01   6.752938e-02
 7.258000e-02   2.059936e-02   1.546997e-02
 8.022000e-02   7.973118e-02   5.894597e-02
 8.786000e-02   1.390418e-02   1.094510e-02
 9.550000e-02   5.939343e-02   5.120093e-02
 1.031400e-01   9.329576e-03   6.353276e-03
 1.107800e-01   5.657189e-03   3.496509e-03
 1.184200e-01   6.066084e-02   5.960077e-02
 1.260600e-01   6.071174e-02   6.071174e-02
 1.337000e-01   2.066761e-03   2.066761e-03
 1.413400e-01   0.000000e+00   0.000000e+00
 1.489800e-01   0.000000e+00   0.000000e+00
 1.566200e-01   1.798484e-03   1.798484e-03
 1.642600e-01   0.000000e+00   0.000000e+00
 1.719000e-01   0.000000e+00   0.000000e+00
 1.795400e-01   0.000000e+00   0.000000e+00
 1.871800e-01   4.980930e-02   4.663311e-02
 inf   3.574024e-04   2.827259e-04
