x5_lab bin centers    value    Error 
-inf   1.608686e-02   6.523346e-04
-1.906180e-01   1.630057e-01   1.308138e-02
-1.898540e-01   1.797826e-01   2.037503e-02
-1.890900e-01   1.665462e-01   1.175384e-02
-1.883260e-01   1.744442e-01   1.060026e-02
-1.875620e-01   1.297723e-01   5.330825e-03
-1.867980e-01   1.447907e-01   6.462775e-03
-1.860340e-01   1.520345e-01   9.022826e-03
-1.852700e-01   1.509009e-01   1.096393e-02
-1.845060e-01   2.057846e-01   1.998308e-02
-1.837420e-01   1.628108e-01   8.573273e-03
-1.829780e-01   1.741086e-01   1.406449e-02
-1.822140e-01   1.899210e-01   1.329795e-02
-1.814500e-01   1.981625e-01   1.552262e-02
-1.806860e-01   1.686826e-01   8.569179e-03
-1.799220e-01   1.817833e-01   1.125170e-02
-1.791580e-01   1.779581e-01   8.802397e-03
-1.783940e-01   2.251651e-01   2.630928e-02
-1.776300e-01   1.890370e-01   1.394699e-02
-1.768660e-01   1.874060e-01   9.885489e-03
-1.761020e-01   1.977679e-01   1.156259e-02
-1.753380e-01   1.781963e-01   9.706948e-03
-1.745740e-01   1.881183e-01   8.789705e-03
-1.738100e-01   1.838254e-01   8.527303e-03
-1.730460e-01   1.965036e-01   9.663779e-03
-1.722820e-01   2.134234e-01   1.597198e-02
-1.715180e-01   2.002401e-01   1.162837e-02
-1.707540e-01   2.047805e-01   8.055208e-03
-1.699900e-01   1.797214e-01   6.387114e-03
-1.692260e-01   2.033419e-01   9.022715e-03
-1.684620e-01   2.076051e-01   9.125521e-03
-1.676980e-01   2.105151e-01   1.149835e-02
-1.669340e-01   2.522330e-01   2.108527e-02
-1.661700e-01   2.421036e-01   1.621308e-02
-1.654060e-01   2.333534e-01   1.427670e-02
-1.646420e-01   2.493625e-01   1.765783e-02
-1.638780e-01   2.256992e-01   1.197186e-02
-1.631140e-01   2.576617e-01   1.783457e-02
-1.623500e-01   2.772517e-01   1.843208e-02
-1.615860e-01   2.494064e-01   1.435808e-02
-1.608220e-01   2.585818e-01   1.175977e-02
-1.600580e-01   2.775345e-01   1.994437e-02
-1.592940e-01   2.566315e-01   8.240163e-03
-1.585300e-01   2.364224e-01   1.142301e-02
-1.577660e-01   3.068223e-01   2.108115e-02
-1.570020e-01   2.914782e-01   1.620930e-02
-1.562380e-01   3.166952e-01   2.076467e-02
-1.554740e-01   2.701031e-01   1.350706e-02
-1.547100e-01   2.986830e-01   2.299230e-02
-1.539460e-01   3.044766e-01   2.297331e-02
-1.531820e-01   3.436523e-01   2.828411e-02
-1.524180e-01   2.951036e-01   1.425900e-02
-1.516540e-01   3.422937e-01   2.599823e-02
-1.508900e-01   3.405440e-01   1.817455e-02
-1.501260e-01   3.210646e-01   1.459873e-02
-1.493620e-01   3.153164e-01   1.668509e-02
-1.485980e-01   3.723899e-01   2.091252e-02
-1.478340e-01   2.975547e-01   8.882104e-03
-1.470700e-01   3.481720e-01   3.662780e-02
-1.463060e-01   3.343209e-01   2.305915e-02
-1.455420e-01   3.728803e-01   2.800530e-02
-1.447780e-01   3.589158e-01   1.956266e-02
-1.440140e-01   3.445161e-01   1.052832e-02
-1.432500e-01   3.996854e-01   2.514285e-02
-1.424860e-01   3.333880e-01   1.163334e-02
-1.417220e-01   3.642867e-01   2.102837e-02
-1.409580e-01   4.038086e-01   2.540997e-02
-1.401940e-01   3.851943e-01   1.747177e-02
-1.394300e-01   4.598383e-01   4.660365e-02
-1.386660e-01   3.741262e-01   1.918357e-02
-1.379020e-01   4.855179e-01   3.041821e-02
-1.371380e-01   4.043762e-01   2.410890e-02
-1.363740e-01   5.225448e-01   5.276719e-02
-1.356100e-01   3.992101e-01   1.828459e-02
-1.348460e-01   5.276131e-01   4.742519e-02
-1.340820e-01   4.033177e-01   1.773110e-02
-1.333180e-01   4.559289e-01   2.108198e-02
-1.325540e-01   4.495957e-01   1.492266e-02
-1.317900e-01   4.447359e-01   1.304944e-02
-1.310260e-01   4.685138e-01   1.873939e-02
-1.302620e-01   5.103662e-01   2.564836e-02
-1.294980e-01   5.460106e-01   3.542334e-02
-1.287340e-01   5.038996e-01   3.831274e-02
-1.279700e-01   5.974377e-01   4.151332e-02
-1.272060e-01   4.943697e-01   1.640469e-02
-1.264420e-01   5.469169e-01   2.595942e-02
-1.256780e-01   4.859915e-01   2.001599e-02
-1.249140e-01   5.642548e-01   2.900579e-02
-1.241500e-01   6.707070e-01   7.209830e-02
-1.233860e-01   6.080991e-01   4.430303e-02
-1.226220e-01   5.520775e-01   1.997177e-02
-1.218580e-01   5.613808e-01   2.863046e-02
-1.210940e-01   5.947879e-01   2.739232e-02
-1.203300e-01   7.974231e-01   8.319505e-02
-1.195660e-01   6.776107e-01   3.883843e-02
-1.188020e-01   5.922821e-01   1.648483e-02
-1.180380e-01   5.998458e-01   2.825419e-02
-1.172740e-01   6.321564e-01   2.846396e-02
-1.165100e-01   7.267582e-01   2.944533e-02
-1.157460e-01   6.102520e-01   2.055511e-02
-1.149820e-01   8.173053e-01   7.015931e-02
-1.142180e-01   7.548253e-01   3.710719e-02
-1.134540e-01   6.732629e-01   2.910327e-02
-1.126900e-01   7.493293e-01   3.654954e-02
-1.119260e-01   8.006270e-01   4.494797e-02
-1.111620e-01   7.170494e-01   3.093053e-02
-1.103980e-01   8.127145e-01   4.193934e-02
-1.096340e-01   7.904622e-01   3.822863e-02
-1.088700e-01   7.118074e-01   2.268609e-02
-1.081060e-01   8.127610e-01   3.479071e-02
-1.073420e-01   7.271749e-01   2.339171e-02
