y5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   2.794647e-01   1.319930e-02
-1.900000e-01   4.200343e-01   1.514716e-02
-1.892000e-01   4.264810e-01   2.261030e-02
-1.884000e-01   4.065940e-01   1.625500e-02
-1.876000e-01   4.434738e-01   2.213104e-02
-1.868000e-01   4.033238e-01   2.032489e-02
-1.860000e-01   4.271676e-01   1.454765e-02
-1.852000e-01   4.355709e-01   1.352504e-02
-1.844000e-01   4.031160e-01   1.621112e-02
-1.836000e-01   4.523964e-01   1.540851e-02
-1.828000e-01   4.227346e-01   1.841155e-02
-1.820000e-01   4.785685e-01   1.537932e-02
-1.812000e-01   4.819791e-01   1.952192e-02
-1.804000e-01   4.554171e-01   1.532779e-02
-1.796000e-01   4.447537e-01   1.452820e-02
-1.788000e-01   4.747969e-01   1.466957e-02
-1.780000e-01   4.809814e-01   2.218902e-02
-1.772000e-01   5.039236e-01   1.838552e-02
-1.764000e-01   4.943910e-01   2.193894e-02
-1.756000e-01   4.993442e-01   1.911373e-02
-1.748000e-01   5.495394e-01   3.393401e-02
-1.740000e-01   5.281512e-01   2.409479e-02
-1.732000e-01   5.375602e-01   2.615877e-02
-1.724000e-01   5.298025e-01   2.239544e-02
-1.716000e-01   5.674174e-01   2.957617e-02
-1.708000e-01   5.452690e-01   2.728268e-02
-1.700000e-01   5.705556e-01   2.299225e-02
-1.692000e-01   5.726129e-01   2.565610e-02
-1.684000e-01   5.480788e-01   3.235487e-02
-1.676000e-01   5.490165e-01   1.911805e-02
-1.668000e-01   5.895116e-01   3.266604e-02
-1.660000e-01   6.175580e-01   2.897599e-02
-1.652000e-01   6.131246e-01   2.741165e-02
-1.644000e-01   6.049478e-01   2.554074e-02
-1.636000e-01   6.082100e-01   2.442661e-02
-1.628000e-01   6.564932e-01   3.452913e-02
-1.620000e-01   6.055958e-01   2.575439e-02
-1.612000e-01   6.887263e-01   3.988665e-02
-1.604000e-01   6.683559e-01   2.837459e-02
-1.596000e-01   6.373441e-01   2.427512e-02
-1.588000e-01   7.244383e-01   3.688559e-02
-1.580000e-01   6.612692e-01   2.466019e-02
-1.572000e-01   7.408552e-01   3.037166e-02
-1.564000e-01   7.396114e-01   3.691751e-02
-1.556000e-01   7.616389e-01   3.458978e-02
-1.548000e-01   7.077471e-01   2.859014e-02
-1.540000e-01   7.774364e-01   4.089477e-02
-1.532000e-01   8.065859e-01   3.574366e-02
-1.524000e-01   7.595044e-01   3.434274e-02
-1.516000e-01   8.554751e-01   4.792376e-02
-1.508000e-01   7.842128e-01   2.889328e-02
-1.500000e-01   8.683024e-01   3.704119e-02
-1.492000e-01   8.472887e-01   4.425697e-02
-1.484000e-01   8.103975e-01   3.407094e-02
-1.476000e-01   8.207211e-01   3.356689e-02
-1.468000e-01   1.000560e+00   5.346057e-02
-1.460000e-01   8.970959e-01   4.609014e-02
-1.452000e-01   9.548867e-01   3.717413e-02
-1.444000e-01   1.000072e+00   5.956856e-02
-1.436000e-01   1.028962e+00   5.409379e-02
