y5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   2.469040e-01   9.656979e-03
-1.900000e-01   3.308190e-01   1.083762e-02
-1.892000e-01   3.242244e-01   9.924771e-03
-1.884000e-01   3.349441e-01   1.425331e-02
-1.876000e-01   3.584551e-01   1.723277e-02
-1.868000e-01   3.165843e-01   9.979818e-03
-1.860000e-01   3.581077e-01   1.496529e-02
-1.852000e-01   3.689613e-01   1.639961e-02
-1.844000e-01   3.648346e-01   1.425108e-02
-1.836000e-01   4.128275e-01   2.317114e-02
-1.828000e-01   3.611772e-01   1.857212e-02
-1.820000e-01   3.640691e-01   1.410751e-02
-1.812000e-01   3.693158e-01   1.933512e-02
-1.804000e-01   4.108038e-01   1.759229e-02
-1.796000e-01   4.158284e-01   1.505823e-02
-1.788000e-01   4.460399e-01   1.372413e-02
-1.780000e-01   4.030362e-01   2.046692e-02
-1.772000e-01   3.948804e-01   1.820936e-02
-1.764000e-01   4.241648e-01   1.164524e-02
-1.756000e-01   4.222355e-01   1.717085e-02
-1.748000e-01   3.756793e-01   1.414760e-02
-1.740000e-01   4.568656e-01   2.074474e-02
-1.732000e-01   4.366398e-01   1.939857e-02
-1.724000e-01   4.856755e-01   2.411382e-02
-1.716000e-01   4.794200e-01   2.059503e-02
-1.708000e-01   4.485152e-01   2.209225e-02
-1.700000e-01   5.568544e-01   4.000671e-02
-1.692000e-01   4.371457e-01   1.165830e-02
-1.684000e-01   4.855157e-01   1.831239e-02
-1.676000e-01   4.723138e-01   1.757606e-02
-1.668000e-01   4.712659e-01   2.079473e-02
-1.660000e-01   4.462682e-01   1.322395e-02
-1.652000e-01   5.923598e-01   4.786621e-02
-1.644000e-01   5.164784e-01   2.494039e-02
-1.636000e-01   5.583138e-01   2.476646e-02
-1.628000e-01   5.358088e-01   2.184466e-02
-1.620000e-01   5.624734e-01   2.265655e-02
-1.612000e-01   5.388509e-01   2.536951e-02
-1.604000e-01   5.659338e-01   1.909447e-02
-1.596000e-01   5.519616e-01   2.096180e-02
-1.588000e-01   5.768678e-01   1.928010e-02
-1.580000e-01   5.900171e-01   3.169969e-02
-1.572000e-01   6.174497e-01   2.380254e-02
-1.564000e-01   5.731409e-01   2.412646e-02
-1.556000e-01   6.114245e-01   2.455741e-02
-1.548000e-01   6.483354e-01   2.224692e-02
-1.540000e-01   6.636487e-01   3.341926e-02
-1.532000e-01   6.868224e-01   3.282058e-02
-1.524000e-01   5.856940e-01   2.669821e-02
-1.516000e-01   7.006456e-01   4.398525e-02
-1.508000e-01   6.649779e-01   3.127293e-02
-1.500000e-01   6.849155e-01   2.890095e-02
-1.492000e-01   7.660136e-01   4.007846e-02
-1.484000e-01   7.205949e-01   3.330584e-02
-1.476000e-01   7.179458e-01   3.012111e-02
-1.468000e-01   7.193568e-01   2.426305e-02
-1.460000e-01   7.511908e-01   3.976470e-02
-1.452000e-01   7.323356e-01   3.953675e-02
-1.444000e-01   7.450124e-01   3.319643e-02
-1.436000e-01   8.028154e-01   3.658565e-02
