y5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   2.433482e-01   9.765150e-03
-1.900000e-01   3.867982e-01   2.488623e-02
-1.892000e-01   3.766145e-01   2.303009e-02
-1.884000e-01   3.823465e-01   2.526112e-02
-1.876000e-01   4.081012e-01   1.798003e-02
-1.868000e-01   3.634951e-01   1.599011e-02
-1.860000e-01   3.580857e-01   1.583850e-02
-1.852000e-01   3.841934e-01   1.863343e-02
-1.844000e-01   3.851355e-01   1.734021e-02
-1.836000e-01   3.975234e-01   1.675877e-02
-1.828000e-01   4.058392e-01   2.068124e-02
-1.820000e-01   3.849341e-01   1.374066e-02
-1.812000e-01   3.852718e-01   1.277672e-02
-1.804000e-01   4.151600e-01   1.571846e-02
-1.796000e-01   4.156873e-01   1.374181e-02
-1.788000e-01   4.119372e-01   9.679742e-03
-1.780000e-01   4.193029e-01   1.637460e-02
-1.772000e-01   4.215101e-01   1.357887e-02
-1.764000e-01   4.236386e-01   1.459454e-02
-1.756000e-01   3.913276e-01   1.021493e-02
-1.748000e-01   4.808017e-01   1.954575e-02
-1.740000e-01   4.518265e-01   2.214030e-02
-1.732000e-01   4.931407e-01   2.185277e-02
-1.724000e-01   4.763581e-01   1.409369e-02
-1.716000e-01   5.870597e-01   4.212931e-02
-1.708000e-01   4.437366e-01   1.225337e-02
-1.700000e-01   5.066564e-01   1.653538e-02
-1.692000e-01   5.202614e-01   2.005808e-02
-1.684000e-01   4.835151e-01   1.682680e-02
-1.676000e-01   5.306857e-01   1.954779e-02
-1.668000e-01   5.174968e-01   2.421783e-02
-1.660000e-01   5.195078e-01   2.119655e-02
-1.652000e-01   5.267269e-01   2.499096e-02
-1.644000e-01   5.720033e-01   2.942777e-02
-1.636000e-01   5.420127e-01   2.750049e-02
-1.628000e-01   5.693009e-01   2.056889e-02
-1.620000e-01   5.388853e-01   1.158389e-02
-1.612000e-01   5.570741e-01   2.180770e-02
-1.604000e-01   5.543297e-01   2.082232e-02
-1.596000e-01   5.797262e-01   2.023213e-02
-1.588000e-01   5.882672e-01   2.169598e-02
-1.580000e-01   6.059196e-01   2.311853e-02
-1.572000e-01   7.186677e-01   4.088331e-02
-1.564000e-01   6.359455e-01   3.259896e-02
-1.556000e-01   6.573870e-01   2.390955e-02
-1.548000e-01   6.925776e-01   3.970048e-02
-1.540000e-01   6.592588e-01   2.332804e-02
-1.532000e-01   7.086754e-01   3.786735e-02
-1.524000e-01   6.779379e-01   1.932752e-02
-1.516000e-01   6.521323e-01   1.702749e-02
-1.508000e-01   7.209250e-01   3.782370e-02
-1.500000e-01   7.298925e-01   3.114400e-02
-1.492000e-01   7.605002e-01   2.982861e-02
-1.484000e-01   7.710522e-01   2.849392e-02
-1.476000e-01   6.766176e-01   1.869769e-02
-1.468000e-01   8.470326e-01   5.065624e-02
-1.460000e-01   7.758558e-01   2.926756e-02
-1.452000e-01   7.673550e-01   2.544111e-02
-1.444000e-01   7.893387e-01   2.839142e-02
-1.436000e-01   9.103997e-01   5.737684e-02
