y5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   2.171040e-01   1.184095e-02
-1.900000e-01   2.942224e-01   1.003471e-02
-1.892000e-01   3.402341e-01   2.878277e-02
-1.884000e-01   2.767613e-01   8.960350e-03
-1.876000e-01   3.267004e-01   9.325719e-03
-1.868000e-01   3.460659e-01   1.619933e-02
-1.860000e-01   3.070201e-01   1.487931e-02
-1.852000e-01   3.251196e-01   1.606375e-02
-1.844000e-01   3.116571e-01   1.270340e-02
-1.836000e-01   3.294096e-01   1.234409e-02
-1.828000e-01   2.650448e-01   1.160424e-02
-1.820000e-01   3.235527e-01   1.785268e-02
-1.812000e-01   3.388366e-01   1.937413e-02
-1.804000e-01   4.058699e-01   2.294427e-02
-1.796000e-01   3.459369e-01   9.976396e-03
-1.788000e-01   3.672677e-01   1.004803e-02
-1.780000e-01   3.302015e-01   4.641714e-03
-1.772000e-01   3.242923e-01   1.725489e-02
-1.764000e-01   3.782379e-01   8.121222e-03
-1.756000e-01   3.763703e-01   6.971686e-03
-1.748000e-01   3.922334e-01   1.517214e-02
-1.740000e-01   3.904662e-01   1.242125e-02
-1.732000e-01   3.752222e-01   2.308235e-02
-1.724000e-01   3.432446e-01   1.319723e-02
-1.716000e-01   4.451817e-01   1.577408e-02
-1.708000e-01   5.017353e-01   1.531764e-02
-1.700000e-01   4.147634e-01   1.491471e-02
-1.692000e-01   4.928461e-01   2.065613e-02
-1.684000e-01   4.229164e-01   8.761028e-03
-1.676000e-01   4.237974e-01   1.070675e-02
-1.668000e-01   5.500604e-01   1.459949e-02
-1.660000e-01   4.152337e-01   6.379808e-03
-1.652000e-01   4.865877e-01   2.064941e-02
-1.644000e-01   4.352400e-01   1.542914e-02
-1.636000e-01   4.697685e-01   7.677986e-03
-1.628000e-01   5.058961e-01   8.254113e-03
-1.620000e-01   5.012662e-01   1.801195e-02
-1.612000e-01   5.291360e-01   3.049134e-02
-1.604000e-01   4.634853e-01   1.092469e-02
-1.596000e-01   4.741843e-01   7.361889e-03
-1.588000e-01   4.829703e-01   1.165896e-02
-1.580000e-01   5.082256e-01   1.576987e-02
-1.572000e-01   4.913117e-01   1.447677e-02
-1.564000e-01   5.591730e-01   1.948115e-02
-1.556000e-01   5.633060e-01   9.025347e-03
-1.548000e-01   5.835226e-01   1.837301e-02
-1.540000e-01   6.115176e-01   1.151966e-02
-1.532000e-01   5.846357e-01   3.066481e-02
-1.524000e-01   6.017872e-01   3.507852e-02
-1.516000e-01   6.484881e-01   2.560343e-02
-1.508000e-01   5.586415e-01   1.880357e-02
-1.500000e-01   7.321872e-01   3.984181e-02
-1.492000e-01   5.878546e-01   2.591963e-02
-1.484000e-01   6.039469e-01   1.630831e-02
-1.476000e-01   5.890725e-01   1.689599e-02
-1.468000e-01   7.026129e-01   4.456150e-02
-1.460000e-01   6.644422e-01   2.100273e-02
-1.452000e-01   6.125363e-01   2.662568e-02
-1.444000e-01   6.849334e-01   2.751505e-02
-1.436000e-01   7.545653e-01   7.519201e-03
