y5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   2.977476e-01   1.524958e-02
-1.900000e-01   3.784864e-01   1.379454e-02
-1.892000e-01   4.094956e-01   2.618973e-02
-1.884000e-01   4.029713e-01   1.891795e-02
-1.876000e-01   4.255705e-01   1.752928e-02
-1.868000e-01   4.321421e-01   2.022713e-02
-1.860000e-01   4.503605e-01   2.432449e-02
-1.852000e-01   4.088571e-01   1.384506e-02
-1.844000e-01   4.195028e-01   2.136704e-02
-1.836000e-01   4.231527e-01   1.298253e-02
-1.828000e-01   4.326768e-01   1.907938e-02
-1.820000e-01   4.348032e-01   2.264428e-02
-1.812000e-01   4.649795e-01   1.609067e-02
-1.804000e-01   4.512683e-01   2.291406e-02
-1.796000e-01   4.456018e-01   1.787526e-02
-1.788000e-01   4.627602e-01   1.632423e-02
-1.780000e-01   5.327105e-01   3.173733e-02
-1.772000e-01   4.656376e-01   1.161977e-02
-1.764000e-01   4.946200e-01   2.190568e-02
-1.756000e-01   4.743391e-01   2.023608e-02
-1.748000e-01   4.755799e-01   1.890697e-02
-1.740000e-01   5.327286e-01   2.695966e-02
-1.732000e-01   5.076862e-01   2.000235e-02
-1.724000e-01   5.201616e-01   1.829720e-02
-1.716000e-01   4.911328e-01   1.498349e-02
-1.708000e-01   5.105363e-01   1.454140e-02
-1.700000e-01   4.995968e-01   1.926929e-02
-1.692000e-01   5.817897e-01   2.316320e-02
-1.684000e-01   6.070450e-01   2.453980e-02
-1.676000e-01   5.976420e-01   2.775780e-02
-1.668000e-01   5.731787e-01   2.833827e-02
-1.660000e-01   5.858899e-01   2.372829e-02
-1.652000e-01   5.190042e-01   1.799137e-02
-1.644000e-01   6.387311e-01   3.447880e-02
-1.636000e-01   6.058842e-01   3.442634e-02
-1.628000e-01   6.337147e-01   2.377563e-02
-1.620000e-01   6.492665e-01   2.240113e-02
-1.612000e-01   5.920762e-01   2.428515e-02
-1.604000e-01   6.317471e-01   2.279094e-02
-1.596000e-01   6.772384e-01   4.134231e-02
-1.588000e-01   6.503869e-01   2.704749e-02
-1.580000e-01   6.358037e-01   2.006342e-02
-1.572000e-01   6.664694e-01   2.859727e-02
-1.564000e-01   7.013681e-01   2.938336e-02
-1.556000e-01   7.992021e-01   5.386051e-02
-1.548000e-01   6.790633e-01   3.440374e-02
-1.540000e-01   7.423772e-01   4.066582e-02
-1.532000e-01   7.552289e-01   2.783232e-02
-1.524000e-01   7.456872e-01   2.783181e-02
-1.516000e-01   7.534240e-01   3.565417e-02
-1.508000e-01   7.498777e-01   2.739539e-02
-1.500000e-01   7.682714e-01   2.722761e-02
-1.492000e-01   8.242119e-01   4.759772e-02
-1.484000e-01   9.846813e-01   7.966137e-02
-1.476000e-01   8.374524e-01   3.581307e-02
-1.468000e-01   8.273603e-01   3.469241e-02
-1.460000e-01   8.300090e-01   2.680609e-02
-1.452000e-01   9.103662e-01   4.341337e-02
-1.444000e-01   8.800176e-01   4.316146e-02
-1.436000e-01   8.802072e-01   2.568251e-02
