y5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.996000e-01   0.000000e+00   0.000000e+00
-1.988000e-01   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.972000e-01   0.000000e+00   0.000000e+00
-1.964000e-01   0.000000e+00   0.000000e+00
-1.956000e-01   0.000000e+00   0.000000e+00
-1.948000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.932000e-01   0.000000e+00   0.000000e+00
-1.924000e-01   0.000000e+00   0.000000e+00
-1.916000e-01   0.000000e+00   0.000000e+00
-1.908000e-01   6.158930e-03   4.630910e-04
-1.900000e-01   7.569271e-03   4.880739e-04
-1.892000e-01   8.935961e-03   6.373666e-04
-1.884000e-01   7.938422e-03   8.175444e-04
-1.876000e-01   8.028052e-03   4.910308e-04
-1.868000e-01   8.106029e-03   6.988353e-04
-1.860000e-01   7.955269e-03   9.358400e-04
-1.852000e-01   9.482533e-03   8.887353e-04
-1.844000e-01   8.552083e-03   8.097955e-04
-1.836000e-01   8.636615e-03   7.621395e-04
-1.828000e-01   8.704349e-03   8.987533e-04
-1.820000e-01   8.740299e-03   7.546983e-04
-1.812000e-01   9.412468e-03   1.184597e-03
-1.804000e-01   9.104433e-03   7.026984e-04
-1.796000e-01   8.277386e-03   7.398609e-04
-1.788000e-01   9.147713e-03   5.989472e-04
-1.780000e-01   1.125753e-02   7.534514e-04
-1.772000e-01   8.633058e-03   6.727873e-04
-1.764000e-01   1.055800e-02   8.665222e-04
-1.756000e-01   9.893907e-03   8.687962e-04
-1.748000e-01   1.027375e-02   1.134371e-03
-1.740000e-01   8.834088e-03   5.924274e-04
-1.732000e-01   1.449182e-02   1.551441e-03
-1.724000e-01   1.169527e-02   1.241896e-03
-1.716000e-01   1.284342e-02   1.647631e-03
-1.708000e-01   1.319513e-02   1.807023e-03
-1.700000e-01   1.028308e-02   7.405782e-04
-1.692000e-01   1.088807e-02   5.948517e-04
-1.684000e-01   1.209893e-02   8.497116e-04
-1.676000e-01   1.137324e-02   6.062187e-04
-1.668000e-01   1.348358e-02   1.710337e-03
-1.660000e-01   1.419886e-02   1.235354e-03
-1.652000e-01   1.338310e-02   1.167516e-03
-1.644000e-01   1.083623e-02   7.393186e-04
-1.636000e-01   1.522660e-02   1.887113e-03
-1.628000e-01   1.334383e-02   9.003073e-04
-1.620000e-01   1.729417e-02   1.785571e-03
-1.612000e-01   1.371600e-02   1.173513e-03
-1.604000e-01   1.369946e-02   1.340548e-03
-1.596000e-01   1.311013e-02   1.383840e-03
-1.588000e-01   1.623494e-02   2.424331e-03
-1.580000e-01   1.499476e-02   1.125764e-03
-1.572000e-01   1.466422e-02   1.208320e-03
-1.564000e-01   1.605053e-02   1.504800e-03
-1.556000e-01   1.413663e-02   6.876037e-04
-1.548000e-01   2.026190e-02   2.870474e-03
-1.540000e-01   1.838948e-02   2.845570e-03
-1.532000e-01   1.648725e-02   1.128887e-03
-1.524000e-01   1.674918e-02   1.257957e-03
-1.516000e-01   1.856851e-02   1.636507e-03
-1.508000e-01   1.881073e-02   1.964938e-03
-1.500000e-01   1.669413e-02   1.121433e-03
-1.492000e-01   1.647489e-02   1.344944e-03
-1.484000e-01   3.452221e-02   8.388692e-03
-1.476000e-01   1.672842e-02   1.268784e-03
-1.468000e-01   1.748226e-02   1.296917e-03
-1.460000e-01   1.599902e-02   1.437674e-03
-1.452000e-01   1.759190e-02   1.309511e-03
-1.444000e-01   1.706373e-02   1.449602e-03
-1.436000e-01   1.858493e-02   1.030849e-03
