y5_lab bin centers    value    Error 
-inf   1.522454e-03   1.041841e-04
-1.996000e-01   4.626558e-03   1.277715e-03
-1.988000e-01   5.105862e-03   1.627889e-03
-1.980000e-01   4.843294e-03   1.321614e-03
-1.972000e-01   7.761482e-03   2.038416e-03
-1.964000e-01   2.023017e-03   6.824963e-04
-1.956000e-01   1.319286e-03   4.342249e-04
-1.948000e-01   9.616711e-03   4.007912e-03
-1.940000e-01   8.573820e-03   2.337926e-03
-1.932000e-01   5.043008e-03   2.077878e-03
-1.924000e-01   1.503076e-03   7.073124e-04
-1.916000e-01   7.962395e-03   1.863775e-03
-1.908000e-01   1.509295e-02   2.210459e-03
-1.900000e-01   2.582745e-02   2.387791e-03
-1.892000e-01   3.745297e-02   6.117336e-03
-1.884000e-01   2.535671e-02   3.005312e-03
-1.876000e-01   1.978010e-02   1.786266e-03
-1.868000e-01   3.466697e-02   5.981148e-03
-1.860000e-01   2.770101e-02   2.503483e-03
-1.852000e-01   3.472105e-02   4.442366e-03
-1.844000e-01   3.157692e-02   3.863368e-03
-1.836000e-01   2.685463e-02   2.518218e-03
-1.828000e-01   3.025606e-02   3.464167e-03
-1.820000e-01   3.191437e-02   4.021945e-03
-1.812000e-01   2.926743e-02   3.373518e-03
-1.804000e-01   2.169961e-02   2.171430e-03
-1.796000e-01   3.056227e-02   3.371211e-03
-1.788000e-01   3.047363e-02   2.447461e-03
-1.780000e-01   3.088238e-02   3.245610e-03
-1.772000e-01   2.775950e-02   2.523161e-03
-1.764000e-01   3.645930e-02   3.450824e-03
-1.756000e-01   3.511779e-02   4.851184e-03
-1.748000e-01   3.637064e-02   3.802750e-03
-1.740000e-01   2.953117e-02   2.452275e-03
-1.732000e-01   4.253961e-02   4.518588e-03
-1.724000e-01   3.846664e-02   3.637365e-03
-1.716000e-01   4.251753e-02   6.956871e-03
-1.708000e-01   3.243710e-02   5.396443e-03
-1.700000e-01   3.727546e-02   3.881285e-03
-1.692000e-01   4.383941e-02   4.478501e-03
-1.684000e-01   5.843900e-02   1.135849e-02
-1.676000e-01   3.818086e-02   3.658819e-03
-1.668000e-01   4.151963e-02   4.795553e-03
-1.660000e-01   4.070473e-02   3.640277e-03
-1.652000e-01   5.324454e-02   6.459819e-03
-1.644000e-01   5.640162e-02   9.313224e-03
-1.636000e-01   7.005478e-02   1.758293e-02
-1.628000e-01   5.030544e-02   7.514279e-03
-1.620000e-01   3.771931e-02   3.785311e-03
-1.612000e-01   5.366827e-02   5.268163e-03
