y5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-1.906180e-01   0.000000e+00   0.000000e+00
-1.898540e-01   0.000000e+00   0.000000e+00
-1.890900e-01   0.000000e+00   0.000000e+00
-1.883260e-01   0.000000e+00   0.000000e+00
-1.875620e-01   0.000000e+00   0.000000e+00
-1.867980e-01   0.000000e+00   0.000000e+00
-1.860340e-01   0.000000e+00   0.000000e+00
-1.852700e-01   0.000000e+00   0.000000e+00
-1.845060e-01   0.000000e+00   0.000000e+00
-1.837420e-01   0.000000e+00   0.000000e+00
-1.829780e-01   6.893288e-03   6.610607e-03
-1.822140e-01   0.000000e+00   0.000000e+00
-1.814500e-01   0.000000e+00   0.000000e+00
-1.806860e-01   0.000000e+00   0.000000e+00
-1.799220e-01   0.000000e+00   0.000000e+00
-1.791580e-01   0.000000e+00   0.000000e+00
-1.783940e-01   0.000000e+00   0.000000e+00
-1.776300e-01   0.000000e+00   0.000000e+00
-1.768660e-01   0.000000e+00   0.000000e+00
-1.761020e-01   0.000000e+00   0.000000e+00
-1.753380e-01   0.000000e+00   0.000000e+00
-1.745740e-01   0.000000e+00   0.000000e+00
-1.738100e-01   0.000000e+00   0.000000e+00
-1.730460e-01   0.000000e+00   0.000000e+00
-1.722820e-01   0.000000e+00   0.000000e+00
-1.715180e-01   0.000000e+00   0.000000e+00
-1.707540e-01   0.000000e+00   0.000000e+00
-1.699900e-01   0.000000e+00   0.000000e+00
-1.692260e-01   0.000000e+00   0.000000e+00
-1.684620e-01   0.000000e+00   0.000000e+00
-1.676980e-01   0.000000e+00   0.000000e+00
-1.669340e-01   0.000000e+00   0.000000e+00
-1.661700e-01   0.000000e+00   0.000000e+00
-1.654060e-01   0.000000e+00   0.000000e+00
-1.646420e-01   0.000000e+00   0.000000e+00
-1.638780e-01   0.000000e+00   0.000000e+00
-1.631140e-01   0.000000e+00   0.000000e+00
-1.623500e-01   0.000000e+00   0.000000e+00
-1.615860e-01   0.000000e+00   0.000000e+00
-1.608220e-01   0.000000e+00   0.000000e+00
-1.600580e-01   0.000000e+00   0.000000e+00
-1.592940e-01   0.000000e+00   0.000000e+00
-1.585300e-01   0.000000e+00   0.000000e+00
-1.577660e-01   0.000000e+00   0.000000e+00
-1.570020e-01   0.000000e+00   0.000000e+00
-1.562380e-01   0.000000e+00   0.000000e+00
-1.554740e-01   0.000000e+00   0.000000e+00
-1.547100e-01   0.000000e+00   0.000000e+00
-1.539460e-01   4.101165e-04   3.872787e-04
-1.531820e-01   0.000000e+00   0.000000e+00
-1.524180e-01   0.000000e+00   0.000000e+00
-1.516540e-01   5.598308e-04   5.132810e-04
-1.508900e-01   0.000000e+00   0.000000e+00
-1.501260e-01   2.896111e-04   2.689116e-04
-1.493620e-01   0.000000e+00   0.000000e+00
-1.485980e-01   0.000000e+00   0.000000e+00
-1.478340e-01   1.099406e-03   1.044585e-03
-1.470700e-01   1.198345e-03   1.012407e-03
-1.463060e-01   0.000000e+00   0.000000e+00
-1.455420e-01   0.000000e+00   0.000000e+00
-1.447780e-01   0.000000e+00   0.000000e+00
-1.440140e-01   2.615549e-03   1.834357e-03
-1.432500e-01   0.000000e+00   0.000000e+00
-1.424860e-01   0.000000e+00   0.000000e+00
-1.417220e-01   2.433232e-03   1.439200e-03
-1.409580e-01   0.000000e+00   0.000000e+00
-1.401940e-01   0.000000e+00   0.000000e+00
-1.394300e-01   0.000000e+00   0.000000e+00
-1.386660e-01   3.466110e-04   3.270547e-04
-1.379020e-01   0.000000e+00   0.000000e+00
-1.371380e-01   0.000000e+00   0.000000e+00
-1.363740e-01   0.000000e+00   0.000000e+00
-1.356100e-01   3.789434e-03   2.110214e-03
-1.348460e-01   3.339109e-03   1.942978e-03
-1.340820e-01   0.000000e+00   0.000000e+00
-1.333180e-01   0.000000e+00   0.000000e+00
-1.325540e-01   2.403639e-03   1.356177e-03
-1.317900e-01   1.217838e-03   7.950368e-04
-1.310260e-01   0.000000e+00   0.000000e+00
-1.302620e-01   0.000000e+00   0.000000e+00
-1.294980e-01   1.623498e-03   9.017716e-04
-1.287340e-01   5.008871e-03   2.798613e-03
-1.279700e-01   7.195773e-04   5.114712e-04
-1.272060e-01   0.000000e+00   0.000000e+00
-1.264420e-01   0.000000e+00   0.000000e+00
-1.256780e-01   0.000000e+00   0.000000e+00
-1.249140e-01   2.539593e-03   1.615902e-03
-1.241500e-01   1.502608e-02   8.062125e-03
-1.233860e-01   1.661819e-03   9.727101e-04
-1.226220e-01   3.049658e-03   2.575488e-03
-1.218580e-01   0.000000e+00   0.000000e+00
-1.210940e-01   0.000000e+00   0.000000e+00
-1.203300e-01   1.167884e-03   8.323547e-04
-1.195660e-01   2.658737e-03   1.533880e-03
-1.188020e-01   3.946454e-03   2.649036e-03
-1.180380e-01   3.559578e-03   1.982656e-03
-1.172740e-01   0.000000e+00   0.000000e+00
-1.165100e-01   2.995989e-03   1.686669e-03
-1.157460e-01   0.000000e+00   0.000000e+00
-1.149820e-01   3.566888e-03   2.022387e-03
-1.142180e-01   1.700677e-03   1.361068e-03
-1.134540e-01   1.792941e-03   1.307796e-03
-1.126900e-01   1.003912e-02   5.936378e-03
-1.119260e-01   1.197615e-03   9.791424e-04
-1.111620e-01   2.353419e-03   1.700397e-03
-1.103980e-01   6.633410e-04   6.584247e-04
-1.096340e-01   4.387601e-03   2.473027e-03
-1.088700e-01   6.287114e-03   3.804787e-03
-1.081060e-01   1.934389e-03   1.074579e-03
-1.073420e-01   1.822147e-03   1.327611e-03
-1.065780e-01   2.737529e-04   2.570102e-04
-1.058140e-01   0.000000e+00   0.000000e+00
-1.050500e-01   1.048188e-02   7.039537e-03
-1.042860e-01   8.859060e-03   4.484969e-03
-1.035220e-01   5.237490e-04   4.212503e-04
