y5_lab bin centers    value    Error 
-inf   8.029993e-05   4.526124e-05
-1.906180e-01   0.000000e+00   0.000000e+00
-1.898540e-01   0.000000e+00   0.000000e+00
-1.890900e-01   0.000000e+00   0.000000e+00
-1.883260e-01   0.000000e+00   0.000000e+00
-1.875620e-01   0.000000e+00   0.000000e+00
-1.867980e-01   0.000000e+00   0.000000e+00
-1.860340e-01   0.000000e+00   0.000000e+00
-1.852700e-01   0.000000e+00   0.000000e+00
-1.845060e-01   0.000000e+00   0.000000e+00
-1.837420e-01   4.085953e-04   4.085953e-04
-1.829780e-01   0.000000e+00   0.000000e+00
-1.822140e-01   0.000000e+00   0.000000e+00
-1.814500e-01   2.600156e-03   2.600156e-03
-1.806860e-01   1.504440e-03   1.504440e-03
-1.799220e-01   0.000000e+00   0.000000e+00
-1.791580e-01   0.000000e+00   0.000000e+00
-1.783940e-01   0.000000e+00   0.000000e+00
-1.776300e-01   1.585494e-08   1.585494e-08
-1.768660e-01   0.000000e+00   0.000000e+00
-1.761020e-01   0.000000e+00   0.000000e+00
-1.753380e-01   0.000000e+00   0.000000e+00
-1.745740e-01   0.000000e+00   0.000000e+00
-1.738100e-01   0.000000e+00   0.000000e+00
-1.730460e-01   0.000000e+00   0.000000e+00
-1.722820e-01   0.000000e+00   0.000000e+00
-1.715180e-01   2.550928e-05   2.550928e-05
-1.707540e-01   0.000000e+00   0.000000e+00
-1.699900e-01   0.000000e+00   0.000000e+00
-1.692260e-01   0.000000e+00   0.000000e+00
-1.684620e-01   3.750632e-03   3.750632e-03
-1.676980e-01   0.000000e+00   0.000000e+00
-1.669340e-01   0.000000e+00   0.000000e+00
-1.661700e-01   0.000000e+00   0.000000e+00
-1.654060e-01   4.258902e-02   4.258902e-02
-1.646420e-01   0.000000e+00   0.000000e+00
-1.638780e-01   0.000000e+00   0.000000e+00
-1.631140e-01   0.000000e+00   0.000000e+00
-1.623500e-01   1.006364e-04   1.006364e-04
-1.615860e-01   0.000000e+00   0.000000e+00
-1.608220e-01   1.001396e-02   1.001396e-02
-1.600580e-01   4.619194e-02   4.619194e-02
-1.592940e-01   0.000000e+00   0.000000e+00
-1.585300e-01   0.000000e+00   0.000000e+00
-1.577660e-01   0.000000e+00   0.000000e+00
-1.570020e-01   0.000000e+00   0.000000e+00
-1.562380e-01   0.000000e+00   0.000000e+00
-1.554740e-01   2.656097e-11   2.656097e-11
-1.547100e-01   0.000000e+00   0.000000e+00
-1.539460e-01   0.000000e+00   0.000000e+00
-1.531820e-01   0.000000e+00   0.000000e+00
-1.524180e-01   2.928828e-02   2.928828e-02
