y5_lab bin centers    value    Error 
-inf   2.111461e-03   7.774517e-05
-1.900450e-01   2.010809e-02   6.876548e-04
-1.881350e-01   2.562610e-02   2.030042e-03
-1.862250e-01   2.760726e-02   2.756964e-03
-1.843150e-01   2.218317e-02   9.781893e-04
-1.824050e-01   2.649313e-02   1.736593e-03
-1.804950e-01   2.456171e-02   1.138350e-03
-1.785850e-01   2.681261e-02   1.276174e-03
-1.766750e-01   2.470425e-02   8.119838e-04
-1.747650e-01   3.211490e-02   2.531206e-03
-1.728550e-01   2.978036e-02   1.659056e-03
-1.709450e-01   2.765199e-02   9.126915e-04
-1.690350e-01   2.802699e-02   8.199204e-04
-1.671250e-01   2.876051e-02   9.364805e-04
-1.652150e-01   3.203771e-02   1.061670e-03
-1.633050e-01   3.373896e-02   1.475584e-03
-1.613950e-01   3.553834e-02   1.109040e-03
-1.594850e-01   3.840996e-02   1.724221e-03
-1.575750e-01   3.788000e-02   1.770848e-03
-1.556650e-01   3.895341e-02   1.645284e-03
-1.537550e-01   3.788333e-02   1.757115e-03
-1.518450e-01   4.499692e-02   2.649471e-03
-1.499350e-01   4.031923e-02   1.098112e-03
-1.480250e-01   4.829978e-02   2.188079e-03
-1.461150e-01   5.416227e-02   3.650520e-03
-1.442050e-01   4.851544e-02   1.603117e-03
-1.422950e-01   4.834703e-02   1.507378e-03
-1.403850e-01   4.986637e-02   1.721369e-03
-1.384750e-01   5.222423e-02   1.626723e-03
-1.365650e-01   5.959707e-02   2.306743e-03
-1.346550e-01   5.770924e-02   2.124438e-03
-1.327450e-01   6.233888e-02   2.949581e-03
-1.308350e-01   6.835997e-02   3.617985e-03
-1.289250e-01   6.278323e-02   1.721514e-03
-1.270150e-01   6.516123e-02   2.468213e-03
-1.251050e-01   7.344974e-02   2.998022e-03
-1.231950e-01   8.046298e-02   4.112910e-03
-1.212850e-01   7.598131e-02   2.506395e-03
-1.193750e-01   8.543437e-02   4.354761e-03
-1.174650e-01   8.435902e-02   2.762461e-03
-1.155550e-01   9.653815e-02   4.923601e-03
-1.136450e-01   1.164399e-01   8.520130e-03
-1.117350e-01   9.872560e-02   3.117364e-03
-1.098250e-01   1.059993e-01   4.538154e-03
-1.079150e-01   1.120347e-01   5.485399e-03
-1.060050e-01   1.158414e-01   4.529077e-03
-1.040950e-01   1.131703e-01   3.966577e-03
-1.021850e-01   1.170383e-01   5.260555e-03
-1.002750e-01   1.233797e-01   3.694599e-03
-9.836500e-02   1.327431e-01   3.607824e-03
-9.645500e-02   1.414400e-01   9.300427e-03
-9.454500e-02   1.598702e-01   7.509961e-03
-9.263500e-02   1.451583e-01   5.916653e-03
-9.072500e-02   1.503597e-01   5.308485e-03
-8.881500e-02   1.674606e-01   1.089910e-02
-8.690500e-02   1.619975e-01   5.224281e-03
-8.499500e-02   1.680545e-01   8.467575e-03
-8.308500e-02   1.982872e-01   1.202683e-02
-8.117500e-02   1.901640e-01   6.388393e-03
-7.926500e-02   2.286266e-01   1.561008e-02
-7.735500e-02   1.866338e-01   5.379860e-03
-7.544500e-02   2.068821e-01   6.409472e-03
-7.353500e-02   2.463921e-01   1.967626e-02
-7.162500e-02   2.364794e-01   1.224402e-02
-6.971500e-02   2.442239e-01   8.819573e-03
-6.780500e-02   2.950437e-01   1.803289e-02
-6.589500e-02   3.022126e-01   1.563741e-02
-6.398500e-02   2.843261e-01   1.218133e-02
-6.207500e-02   3.150416e-01   1.827122e-02
-6.016500e-02   4.074134e-01   2.641602e-02
-5.825500e-02   3.213359e-01   1.113213e-02
-5.634500e-02   3.931148e-01   1.897878e-02
-5.443500e-02   4.428840e-01   3.042313e-02
-5.252500e-02   4.293018e-01   1.557370e-02
-5.061500e-02   4.544415e-01   2.033831e-02
-4.870500e-02   5.096825e-01   3.642966e-02
-4.679500e-02   5.019956e-01   2.323668e-02
-4.488500e-02   6.047282e-01   2.793760e-02
-4.297500e-02   7.721201e-01   8.468963e-02
-4.106500e-02   7.365543e-01   5.460952e-02
-3.915500e-02   7.001514e-01   3.122156e-02
-3.724500e-02   8.852042e-01   7.741031e-02
-3.533500e-02   8.183676e-01   2.835960e-02
-3.342500e-02   1.041689e+00   7.625630e-02
-3.151500e-02   1.086725e+00   5.755326e-02
-2.960500e-02   9.796064e-01   3.081886e-02
-2.769500e-02   1.147711e+00   5.875807e-02
-2.578500e-02   1.077390e+00   3.722921e-02
-2.387500e-02   1.122087e+00   3.280968e-02
-2.196500e-02   1.114213e+00   3.210269e-02
-2.005500e-02   1.135577e+00   3.864680e-02
-1.814500e-02   1.321757e+00   4.626007e-02
-1.623500e-02   1.306486e+00   6.491312e-02
-1.432500e-02   1.398622e+00   5.835515e-02
-1.241500e-02   1.419090e+00   7.693908e-02
-1.050500e-02   1.357292e+00   5.532874e-02
-8.595000e-03   1.688869e+00   1.579723e-01
-6.685000e-03   1.493891e+00   5.127697e-02
-4.775000e-03   1.598973e+00   9.030811e-02
-2.865000e-03   1.552110e+00   7.505647e-02
-9.550000e-04  -6.606227e+01   4.889478e+00
 9.550000e-04   1.277059e+00   4.127603e-02
 2.865000e-03   1.338153e+00   4.815841e-02
 4.775000e-03   1.684127e+00   1.227810e-01
 6.685000e-03   1.266791e+00   3.922120e-02
 8.595000e-03   1.264882e+00   4.615961e-02
 1.050500e-02   1.342278e+00   4.189836e-02
 1.241500e-02   1.618771e+00   1.204510e-01
 1.432500e-02   1.496472e+00   8.368130e-02
 1.623500e-02   1.460746e+00   1.054216e-01
 1.814500e-02   1.317871e+00   6.858957e-02
 2.005500e-02   1.294961e+00   1.023134e-01
 2.196500e-02   1.179572e+00   4.061762e-02
 2.387500e-02   1.175997e+00   5.632991e-02
 2.578500e-02   1.199972e+00   4.946092e-02
 2.769500e-02   1.110691e+00   5.211721e-02
 2.960500e-02   1.245134e+00   9.111666e-02
 3.151500e-02   8.959936e-01   3.371072e-02
 3.342500e-02   9.221406e-01   4.790116e-02
 3.533500e-02   9.056366e-01   7.543817e-02
 3.724500e-02   8.264599e-01   3.944816e-02
 3.915500e-02   7.176306e-01   3.597896e-02
 4.106500e-02   5.971792e-01   2.478835e-02
 4.297500e-02   6.902877e-01   5.015922e-02
 4.488500e-02   6.010580e-01   4.453113e-02
 4.679500e-02   5.203198e-01   2.315213e-02
 4.870500e-02   5.444912e-01   3.136268e-02
 5.061500e-02   4.880230e-01   2.715261e-02
 5.252500e-02   3.861936e-01   2.159729e-02
 5.443500e-02   3.770390e-01   1.434963e-02
 5.634500e-02   4.005339e-01   2.099363e-02
 5.825500e-02   3.698218e-01   1.667097e-02
 6.016500e-02   3.022174e-01   1.280499e-02
 6.207500e-02   3.123897e-01   1.322341e-02
 6.398500e-02   4.057434e-01   5.623535e-02
 6.589500e-02   2.782968e-01   1.215785e-02
 6.780500e-02   2.418435e-01   7.995647e-03
 6.971500e-02   2.571285e-01   1.952285e-02
 7.162500e-02   2.358006e-01   8.294922e-03
 7.353500e-02   2.276008e-01   6.083183e-03
 7.544500e-02   2.272650e-01   1.037281e-02
 7.735500e-02   2.004236e-01   8.618360e-03
 7.926500e-02   1.959595e-01   8.085491e-03
 8.117500e-02   2.052937e-01   8.160425e-03
 8.308500e-02   1.970995e-01   9.446982e-03
 8.499500e-02   1.644662e-01   4.380664e-03
 8.690500e-02   1.528944e-01   5.995034e-03
 8.881500e-02   1.672087e-01   9.036951e-03
 9.072500e-02   1.555871e-01   6.866104e-03
 9.263500e-02   1.419868e-01   6.487662e-03
 9.454500e-02   1.642433e-01   1.179773e-02
 9.645500e-02   1.304221e-01   4.016915e-03
 9.836500e-02   1.499131e-01   8.769433e-03
 1.002750e-01   1.325541e-01   4.925962e-03
 1.021850e-01   1.196939e-01   4.758852e-03
 1.040950e-01   1.070769e-01   2.827754e-03
 1.060050e-01   1.030901e-01   3.249155e-03
 1.079150e-01   1.155953e-01   6.097030e-03
 1.098250e-01   9.812043e-02   4.708880e-03
 1.117350e-01   1.030293e-01   3.429995e-03
 1.136450e-01   1.125148e-01   5.350689e-03
 1.155550e-01   9.962060e-02   5.263366e-03
 1.174650e-01   8.036317e-02   2.366027e-03
 1.193750e-01   8.340313e-02   2.911841e-03
 1.212850e-01   7.493050e-02   2.176428e-03
 1.231950e-01   7.937841e-02   2.926202e-03
 1.251050e-01   8.031623e-02   4.969376e-03
 1.270150e-01   7.145278e-02   2.981013e-03
 1.289250e-01   7.130270e-02   4.003161e-03
 1.308350e-01   6.142774e-02   1.929957e-03
 1.327450e-01   5.668066e-02   1.745014e-03
 1.346550e-01   5.483572e-02   1.438128e-03
 1.365650e-01   6.223811e-02   3.675314e-03
 1.384750e-01   6.072717e-02   2.264739e-03
 1.403850e-01   4.840572e-02   1.143501e-03
 1.422950e-01   4.723678e-02   1.522871e-03
 1.442050e-01   5.178075e-02   2.264923e-03
 1.461150e-01   4.327773e-02   1.118491e-03
 1.480250e-01   4.950250e-02   3.867648e-03
 1.499350e-01   4.155227e-02   7.880841e-04
 1.518450e-01   4.209607e-02   1.704389e-03
 1.537550e-01   4.393326e-02   2.285431e-03
 1.556650e-01   4.065256e-02   1.539580e-03
 1.575750e-01   3.567734e-02   1.014974e-03
 1.594850e-01   3.715434e-02   1.906087e-03
 1.613950e-01   3.530106e-02   1.533435e-03
 1.633050e-01   3.631706e-02   2.224427e-03
 1.652150e-01   3.146101e-02   1.265092e-03
 1.671250e-01   3.203764e-02   1.193213e-03
 1.690350e-01   3.042131e-02   1.560696e-03
 1.709450e-01   3.315965e-02   2.248430e-03
 1.728550e-01   2.775749e-02   1.241067e-03
 1.747650e-01   2.880840e-02   1.541149e-03
 1.766750e-01   2.464480e-02   6.539444e-04
 1.785850e-01   2.657108e-02   8.931006e-04
 1.804950e-01   2.245141e-02   1.115439e-03
 1.824050e-01   2.359345e-02   1.239324e-03
 1.843150e-01   2.482588e-02   1.699144e-03
 1.862250e-01   2.630410e-02   1.024752e-03
 1.881350e-01   2.530832e-02   1.950975e-03
 1.900450e-01   2.335489e-02   1.666048e-03
 inf   2.022942e-03   5.617643e-05
