y5_lab bin centers    value    Error 
-inf   1.557446e-02   5.329264e-04
-1.906180e-01   1.341896e-01   5.700194e-03
-1.898540e-01   1.367009e-01   6.957722e-03
-1.890900e-01   1.444041e-01   6.820285e-03
-1.883260e-01   1.489732e-01   5.995809e-03
-1.875620e-01   1.350307e-01   6.424352e-03
-1.867980e-01   1.654429e-01   9.095930e-03
-1.860340e-01   1.459892e-01   6.360033e-03
-1.852700e-01   1.935359e-01   2.019180e-02
-1.845060e-01   1.542933e-01   9.603068e-03
-1.837420e-01   1.871465e-01   1.449409e-02
-1.829780e-01   1.555223e-01   8.274957e-03
-1.822140e-01   1.577240e-01   6.135469e-03
-1.814500e-01   1.544177e-01   5.946073e-03
-1.806860e-01   1.838150e-01   1.165911e-02
-1.799220e-01   1.782022e-01   8.727609e-03
-1.791580e-01   1.595298e-01   8.622989e-03
-1.783940e-01   2.169807e-01   1.821028e-02
-1.776300e-01   1.477750e-01   6.108755e-03
-1.768660e-01   1.950524e-01   1.434207e-02
-1.761020e-01   1.904392e-01   8.802120e-03
-1.753380e-01   1.819535e-01   1.494664e-02
-1.745740e-01   2.080016e-01   1.221223e-02
-1.738100e-01   2.021859e-01   1.611692e-02
-1.730460e-01   2.003183e-01   1.554122e-02
-1.722820e-01   1.924192e-01   9.025931e-03
-1.715180e-01   1.692344e-01   1.136240e-02
-1.707540e-01   1.983532e-01   9.697534e-03
-1.699900e-01   2.078093e-01   8.109794e-03
-1.692260e-01   2.387479e-01   2.096085e-02
-1.684620e-01   2.054846e-01   1.152388e-02
-1.676980e-01   2.604310e-01   2.118794e-02
-1.669340e-01   2.272300e-01   1.935190e-02
-1.661700e-01   1.941478e-01   8.804119e-03
-1.654060e-01   2.363722e-01   1.486979e-02
-1.646420e-01   2.718547e-01   2.530383e-02
-1.638780e-01   2.681648e-01   1.623195e-02
-1.631140e-01   2.359693e-01   1.774849e-02
-1.623500e-01   2.644671e-01   2.032645e-02
-1.615860e-01   2.468178e-01   1.640866e-02
-1.608220e-01   2.963082e-01   2.646059e-02
-1.600580e-01   2.389308e-01   1.472189e-02
-1.592940e-01   2.719279e-01   1.522193e-02
-1.585300e-01   2.766555e-01   1.271651e-02
-1.577660e-01   2.955863e-01   2.083125e-02
-1.570020e-01   2.662956e-01   1.470264e-02
-1.562380e-01   2.493532e-01   8.832706e-03
-1.554740e-01   2.770616e-01   1.433438e-02
-1.547100e-01   3.127817e-01   2.175589e-02
-1.539460e-01   2.658225e-01   8.510709e-03
-1.531820e-01   2.673131e-01   1.135826e-02
-1.524180e-01   2.753475e-01   1.924088e-02
-1.516540e-01   2.772270e-01   1.171134e-02
-1.508900e-01   4.505680e-01   4.958163e-02
-1.501260e-01   3.393044e-01   1.937779e-02
-1.493620e-01   3.031918e-01   1.445333e-02
-1.485980e-01   3.427880e-01   1.890971e-02
-1.478340e-01   5.117615e-01   6.886423e-02
-1.470700e-01   3.625587e-01   1.482725e-02
-1.463060e-01   2.814713e-01   1.050818e-02
-1.455420e-01   2.841547e-01   1.218626e-02
-1.447780e-01   3.244128e-01   1.634513e-02
-1.440140e-01   2.987859e-01   1.030908e-02
-1.432500e-01   3.536986e-01   1.786072e-02
-1.424860e-01   3.498670e-01   1.775599e-02
