y5_lab bin centers    value    Error 
-inf   1.601065e-02   5.982733e-04
-1.906180e-01   1.645350e-01   1.530952e-02
-1.898540e-01   1.455581e-01   8.909445e-03
-1.890900e-01   1.419901e-01   8.669275e-03
-1.883260e-01   1.558213e-01   9.193064e-03
-1.875620e-01   1.684195e-01   1.162287e-02
-1.867980e-01   1.717070e-01   1.052513e-02
-1.860340e-01   1.445823e-01   6.544251e-03
-1.852700e-01   1.559459e-01   1.181022e-02
-1.845060e-01   1.777926e-01   1.256885e-02
-1.837420e-01   1.496897e-01   7.295838e-03
-1.829780e-01   1.543077e-01   8.891939e-03
-1.822140e-01   1.681182e-01   1.021684e-02
-1.814500e-01   1.824773e-01   1.213011e-02
-1.806860e-01   1.739445e-01   1.255408e-02
-1.799220e-01   1.824360e-01   1.485965e-02
-1.791580e-01   1.942249e-01   1.150636e-02
-1.783940e-01   1.887687e-01   1.631538e-02
-1.776300e-01   1.952514e-01   1.376357e-02
-1.768660e-01   1.883117e-01   1.266228e-02
-1.761020e-01   2.054806e-01   1.407158e-02
-1.753380e-01   1.894508e-01   1.155653e-02
-1.745740e-01   2.036204e-01   1.420303e-02
-1.738100e-01   2.066647e-01   1.338994e-02
-1.730460e-01   1.948926e-01   1.064396e-02
-1.722820e-01   1.918686e-01   1.077273e-02
-1.715180e-01   2.136672e-01   1.213967e-02
-1.707540e-01   2.124219e-01   1.240892e-02
-1.699900e-01   2.131831e-01   1.192533e-02
-1.692260e-01   2.007254e-01   1.298259e-02
-1.684620e-01   2.252582e-01   1.256753e-02
-1.676980e-01   2.414189e-01   1.984530e-02
-1.669340e-01   2.336453e-01   1.990393e-02
-1.661700e-01   2.102431e-01   1.152130e-02
-1.654060e-01   3.848221e-01   4.966591e-02
-1.646420e-01   2.060824e-01   8.463989e-03
-1.638780e-01   2.126143e-01   8.433874e-03
-1.631140e-01   2.311912e-01   1.238871e-02
-1.623500e-01   2.320855e-01   1.023426e-02
-1.615860e-01   2.282491e-01   1.092898e-02
-1.608220e-01   2.925972e-01   2.275746e-02
-1.600580e-01   2.729771e-01   1.704481e-02
-1.592940e-01   2.893904e-01   2.579232e-02
-1.585300e-01   2.757457e-01   1.699310e-02
-1.577660e-01   2.906136e-01   2.179692e-02
-1.570020e-01   2.491944e-01   9.999683e-03
-1.562380e-01   2.647961e-01   1.159949e-02
-1.554740e-01   2.937150e-01   2.199644e-02
-1.547100e-01   2.870342e-01   1.874892e-02
-1.539460e-01   2.755386e-01   1.379825e-02
-1.531820e-01   2.486635e-01   8.437909e-03
-1.524180e-01   2.841638e-01   1.512201e-02
-1.516540e-01   3.600001e-01   2.807100e-02
-1.508900e-01   3.041382e-01   1.442782e-02
-1.501260e-01   3.146597e-01   1.931336e-02
-1.493620e-01   3.401007e-01   2.033528e-02
-1.485980e-01   3.301151e-01   1.946928e-02
-1.478340e-01   3.315796e-01   1.840962e-02
-1.470700e-01   3.453228e-01   2.351910e-02
-1.463060e-01   3.398558e-01   1.692442e-02
-1.455420e-01   3.458484e-01   1.907069e-02
-1.447780e-01   3.067196e-01   1.367464e-02
-1.440140e-01   3.453466e-01   1.732477e-02
-1.432500e-01   3.060791e-01   1.112113e-02
-1.424860e-01   3.077986e-01   9.995593e-03
-1.417220e-01   3.247693e-01   1.724065e-02
-1.409580e-01   4.466049e-01   2.998566e-02
-1.401940e-01   4.442137e-01   3.146036e-02
-1.394300e-01   3.851509e-01   1.642121e-02
-1.386660e-01   3.888198e-01   1.739319e-02
-1.379020e-01   3.550023e-01   1.458500e-02
-1.371380e-01   4.521431e-01   3.702077e-02
-1.363740e-01   4.106894e-01   1.959483e-02
-1.356100e-01   4.300630e-01   2.639553e-02
-1.348460e-01   3.792609e-01   1.253840e-02
-1.340820e-01   4.167336e-01   1.727903e-02
-1.333180e-01   4.524420e-01   2.098273e-02
-1.325540e-01   4.936792e-01   3.014070e-02
-1.317900e-01   4.024849e-01   1.582544e-02
-1.310260e-01   4.712629e-01   2.348077e-02
-1.302620e-01   4.978757e-01   2.617683e-02
-1.294980e-01   4.527841e-01   1.917319e-02
-1.287340e-01   4.236396e-01   1.673553e-02
